word,meaning,native,sentence
changer,to change,,Il {{change}} ses vêtements avant d'aller au travail.
garder,to keep,,Elle {{garde}} les souvenirs de son enfance très précieusement.
aider,to help,,Mon frère m'{{aide}} toujours avec mes problèmes difficiles.
permettre,to allow,,Les parents {{permettent}} aux enfants de jouer dehors.
refuser,to refuse,,Il a {{refusé}} notre invitation au mariage l'année dernière.
accepter,to accept,,Elle {{accepte}} le nouveau travail avec beaucoup d'enthousiasme.
répondre,to answer,,Tu dois {{répondre}} aux questions du professeur correctement.
expliquer,to explain,,Le professeur {{explique}} la leçon de mathématiques très clairement.
demander,to ask,,Je vais {{demander}} l'aide de mon ami pour ce projet.
recevoir,to receive,,Elle {{reçoit}} beaucoup de cadeaux pour son anniversaire.
envoyer,to send,,Je vais {{envoyer}} une lettre à ma grand-mère bientôt.
oublier,to forget,,Il {{oublie}} toujours ses clés quand il sort pressé.
rappeler,to remember / to call back,,Tu me {{rappelles}} de l'appeler avant ce soir s'il te plaît.
rêver,to dream,,Je {{rêve}} souvent de voyager dans des pays exotiques.
imaginer,to imagine,,Les enfants {{imaginent}} des histoires fantastiques avant de dormir.
créer,to create,,L'artiste {{crée}} de magnifiques sculptures en bois naturel.
construire,to build,,Ils {{construisent}} une nouvelle maison dans notre quartier maintenant.
casser,to break,,L'enfant a {{cassé}} le vase antique accidentellement hier.
toucher,to touch,,Ne {{touche}} pas les plantes délicates du jardin s'il te plaît.
sentir,to feel / to smell,,On {{sent}} la bonne odeur du pain frais partout.
sourire,to smile,,Elle {{sourit}} toujours quand elle voit ses petits-enfants.
rire,to laugh,,Nous {{rions}} beaucoup pendant les histoires drôles.
pleurer,to cry,,Le bébé {{pleure}} toute la nuit sans arrêt vraiment.
crier,to shout,,Les supporters {{crient}} très fort pendant le match de foot.
chanter,to sing,,Elle {{chante}} très bien dans la chorale de l'école.
danser,to dance,,Ils {{dansent}} toute la nuit pendant la fête.
cuisiner,to cook,,Ma mère {{cuisine}} de délicieux plats traditionnels chaque dimanche.
nettoyer,to clean,,Je {{nettoie}} ma chambre tous les samedis matin régulièrement.
laver,to wash,,Tu dois {{laver}} tes mains avant de manger.
voyager,to travel,,Nous {{voyageons}} en Europe tous les étés avec notre famille.
visiter,to visit,,Les touristes {{visitent}} la cathédrale Notre-Dame chaque jour.
nager,to swim,,Les enfants {{nagent}} dans la piscine pendant l'été.
voler,to fly / to steal,,L'oiseau {{vole}} haut dans le ciel bleu.
conduire,to drive,,Mon père {{conduit}} une voiture noire tous les jours.
naître,to be born,,Je suis {{né}} en France il y a vingt ans.
mourir,to die,,Les fleurs {{meurent}} sans eau pendant l'été.
grandir,to grow up,,Mon fils {{grandit}} rapidement chaque année maintenant.
réussir,to succeed,,Elle {{réussit}} tous ses examens avec beaucoup d'effort.
échouer,to fail,,Il {{échoue}} souvent car il ne travaille pas assez.
continuer,to continue,,Nous {{continuons}} notre projet malgré les difficultés rencontrées.
arrêter,to stop,,Il faut {{arrêter}} de fumer pour votre santé.
reprendre,to resume / to take back,,Je {{reprends}} mon travail après une longue pause.
réaliser,to realise / to achieve,,Elle {{réalise}} finalement son rêve d'être actrice.
obtenir,to obtain / to get,,Vous {{obtenez}} un diplôme après trois années d'études.
produire,to produce,,Cette usine {{produit}} des voitures depuis cinquante ans.
offrir,to offer,,Je {{t'offre}} un cadeau pour ton anniversaire demain.
proposer,to propose / to suggest,,Il {{propose}} une nouvelle idée pour améliorer l'entreprise.
présenter,to present / to introduce,,Je {{présente}} mon ami Marie à toute la famille.
représenter,to represent,,Cet acteur {{représente}} la France aux Jeux olympiques.
appartenir,to belong,,Ce livre {{appartient}} à la bibliothèque municipale depuis longtemps.
résoudre,to solve,,Le mathématicien {{résout}} le problème difficile en une heure.
éviter,to avoid,,Elle {{évite}} les embouteillages en prenant la route secondaire.
atteindre,to reach / to achieve,,L'alpiniste {{atteint}} enfin le sommet de la montagne.
réduire,to reduce,,Nous devons {{réduire}} nos dépenses pendant la crise économique.
augmenter,to increase,,Les salaires {{augmentent}} de cinq pour cent cette année.
améliorer,to improve,,On peut {{améliorer}} la qualité avec plus d'investissement.
développer,to develop,,L'entreprise {{développe}} ses activités dans plusieurs pays étrangers.
# ── Nouns ────────────────────────────────────────────────────────────────────
temps,time / weather,,Le {{temps}} est beau aujourd'hui pour une promenade.
année,year,,Cette {{année}} je vais voyager en Italie avec ma famille.
vie,life,,La {{vie}} est une belle aventure pleine de surprises.
homme,man,,Cet {{homme}} travaille comme ingénieur dans une grande ville.
femme,woman,,La {{femme}} enseigne l'histoire dans un lycée prestigieux.
jour,day,,Chaque {{jour}} je marche dans le parc près de chez moi.
chose,thing,,La seule {{chose}} que je veux c'est votre bonheur.
partie,part,,La première {{partie}} du film était très émouvante et captivante.
endroit,place,,Cet {{endroit}} est calme et parfait pour se reposer.
moment,moment,,Ce {{moment}} sera gravé dans ma mémoire à jamais.
façon,way / manner,,La {{façon}} dont il parle me plaît beaucoup aujourd'hui.
personne,person,,Aucune {{personne}} ne peut réussir seule sans aide.
main,hand,,L'enfant tient la {{main}} de sa mère à l'école.
monde,world,,Le {{monde}} entier regarde le tournoi de tennis maintenant.
fois,time (occurrence),,Je visite ce restaurant une {{fois}} par semaine toujours.
cas,case,,"En ce {{cas}}, vous pouvez appeler la police immédiatement."
travail,work / job,,Mon {{travail}} me plaît beaucoup malgré les horaires chargés.
problème,problem,,Le {{problème}} principal est que nous manquons de ressources.
pays,country,,Ce {{pays}} possède une longue histoire très riche et intéressante.
ville,city,,La {{ville}} de Paris attire des millions de touristes annuellement.
maison,house / home,,Notre {{maison}} est située près du centre-ville maintenant.
eau,water,,L'{{eau}} pure est essentielle pour la santé humaine.
groupe,group,,Le {{groupe}} de musique joue dans le festival mercredi.
entreprise,company,,Cette {{entreprise}} emploie plus de mille personnes dans le monde.
nom,name,,Je ne me souviens plus du {{nom}} de ce restaurant.
nombre,number,,Le {{nombre}} d'étudiants augmente chaque année dans cette école.
forme,form / shape,,La {{forme}} du triangle est différente du carré.
système,system,,Le {{système}} éducatif français change progressivement depuis quelques années.
exemple,example,,"Par {{exemple}}, vous pouvez utiliser ce dictionnaire pour apprendre."
point,point,,C'est un {{point}} important à considérer dans cette discussion.
gouvernement,government,,Le {{gouvernement}} a annoncé de nouvelles mesures pour l'économie.
information,information,,J'ai reçu une {{information}} intéressante sur ce projet hier.
histoire,history / story,,L'{{histoire}} de France est très riche et complexe.
famille,family,,Ma {{famille}} se réunit toujours le dimanche pour déjeuner.
société,society,,La {{société}} moderne dépend beaucoup de la technologie numérique.
niveau,level,,Son {{niveau}} en mathématiques s'est amélioré considérablement ce trimestre.
type,type,,Quel {{type}} de café préférez-vous boire le matin?
relation,relationship,,La {{relation}} entre ces deux pays s'est consolidée récemment.
processus,process,,Le {{processus}} de candidature est simple et rapide généralement.
service,service,,Ce {{service}} client est disponible vingt-quatre heures par jour.
politique,politics / policy,,La {{politique}} nationale affecte directement la vie des citoyens.
changement,change,,Un grand {{changement}} arrive dans notre entreprise très bientôt.
résultat,result,,Le {{résultat}} final dépend de votre effort et concentration.
argent,money,,L'{{argent}} ne fait pas toujours le bonheur des gens.
heure,hour / time,,À quelle {{heure}} arrivez-vous généralement au bureau demain matin?
mois,month,,Janvier est le premier {{mois}} de l'année civile.
semaine,week,,"La {{semaine}} prochaine, nous avons plusieurs réunions importantes prévues."
nuit,night,,"Pendant la {{nuit}}, les étoiles brillent magnifiquement dans le ciel."
matin,morning,,Je prends toujours du café le {{matin}} avant de travailler.
après-midi,afternoon,,"L'{{après-midi}}, nous avons généralement une pause de deux heures."
soir,evening,,"Le {{soir}}, nous regardons souvent un film ensemble en famille."
minute,minute,,"Attendez une {{minute}}, je vais trouver votre documents rapidement."
seconde,second,,Cela ne prend qu'une {{seconde}} pour changer votre mot de passe.
siècle,century,,"Au dix-neuvième {{siècle}}, la révolution industrielle a transformé l'Europe."
avenir,future,,L'{{avenir}} de cette entreprise dépend des bonnes décisions maintenant.
passé,past,,"Le {{passé}} ne peut pas être changé, seulement accepté."
présent,present,,Le {{présent}} est le meilleur moment pour agir vraiment.
début,beginning,,Le {{début}} du film était très intéressant et captivant.
fin,end,,La {{fin}} de l'histoire était inattendue et étonnante.
centre,centre,,Le {{centre}} commercial se trouve à cinq kilomètres d'ici environ.
nord,north,,La gare est situé au {{nord}} de la ville principale.
sud,south,,Le climat au {{sud}} est plus chaud et ensoleillé.
est,east,,Le soleil se lève à l'{{est}} chaque matin régulièrement.
ouest,west,,Nous voyageons vers l'{{ouest}} pour nos vacances d'été cette année.
rue,street,,Ma maison se trouve dans la {{rue}} principale du village.
chemin,path / way,,Le {{chemin}} vers l'école passe par le parc municipal.
porte,door,,Pouvez-vous ouvrir la {{porte}} s'il vous plaît maintenant?
fenêtre,window,,La {{fenêtre}} de ma chambre donne sur un joli jardin.
sol,floor / ground,,Le {{sol}} du salon est couvert de carrelage blanc.
plafond,ceiling,,Le {{plafond}} de la salle a été récemment repeint en blanc.
mur,wall,,Il y a une belle peinture sur le {{mur}} du salon.
pièce,room,,Cette {{pièce}} est très lumineuse et agréable à vivre.
cuisine,kitchen,,La {{cuisine}} est équipée de tous les appareils modernes nécessaires.
salle de bain,bathroom,,La {{salle de bain}} a été rénovée l'année dernière complètement.
jardin,garden,,Nous cultivons des légumes frais dans notre {{jardin}} chaque été.
bâtiment,building,,Le {{bâtiment}} moderne se trouve au centre-ville.
appartement,apartment,,Elle habite dans un {{appartement}} spacieux avec vue.
hôtel,hotel,,Nous avons réservé une chambre à l'{{hôtel}} hier.
hôpital,hospital,,Mon grand-père travaille à l'{{hôpital}} depuis vingt ans.
école,school,,Les enfants vont à l'{{école}} tous les matins.
université,university,,Il étudie la biologie à l'{{université}} de Paris.
bibliothèque,library,,Je dois aller à la {{bibliothèque}} pour emprunter des livres.
magasin,shop / store,,Le {{magasin}} ferme à dix-huit heures le soir.
marché,market,,Nous achetons des fruits frais au {{marché}} tous les jeudis.
banque,bank,,Elle travaille à la {{banque}} depuis cinq années.
église,church,,La {{église}} du village est très ancienne et belle.
parc,park,,Les enfants jouent au {{parc}} près de la maison.
plage,beach,,Nous passons l'été à la {{plage}} en Bretagne.
montagne,mountain,,La {{montagne}} est couverte de neige en hiver.
rivière,river,,Cette {{rivière}} traverse la campagne et la forêt.
lac,lake,,Le {{lac}} est idéal pour la baignade l'été.
mer,sea,,La {{mer}} est calme aujourd'hui selon les prévisions.
forêt,forest,,Nous nous promenons dans la {{forêt}} le week-end.
campagne,countryside,,Il préfère la {{campagne}} aux bruits de la ville.
ciel,sky,,Le {{ciel}} est dégagé et très bleu maintenant.
soleil,sun,,Le {{soleil}} brille magnifiquement sur la mer.
lune,moon,,La {{lune}} est pleine et très brillante cette nuit.
étoile,star,,Chaque {{étoile}} brille distinctement dans le ciel noir.
nuage,cloud,,Un {{nuage}} blanc flotte lentement dans le ciel.
pluie,rain,,La {{pluie}} commence à tomber cet après-midi.
neige,snow,,La {{neige}} recouvre complètement les toits et les arbres.
vent,wind,,Le {{vent}} souffle très fort près de la côte.
feu,fire,,Le {{feu}} crépite dans la cheminée ce soir.
terre,earth / land,,La {{terre}} est fertile dans cette région agricole.
pierre,stone,,Cette {{pierre}} ancienne date du Moyen Âge environ.
arbre,tree,,L'{{arbre}} fruitier donne de belles pommes rouges.
fleur,flower,,Cette {{fleur}} rose sent très bon au printemps.
plante,plant,,La {{plante}} verte a besoin d'eau et lumière.
herbe,grass,,L'{{herbe}} verte recouvre tout le terrain de football.
animal,animal,,Chaque {{animal}} a ses propres caractéristiques particulières.
chien,dog,,Le {{chien}} aboie quand quelqu'un sonne à la porte.
chat,cat,,Le {{chat}} dort paisiblement sur le canapé confortable.
oiseau,bird,,L'{{oiseau}} chante très tôt chaque matin du printemps.
poisson,fish,,Le {{poisson}} rouge nage dans l'aquarium avec grâce.
cheval,horse,,Le {{cheval}} galope rapidement dans le champ verdoyant.
vache,cow,,La {{vache}} broute l'herbe dans le pré vert.
corps,body,,Le {{corps}} humain a besoin d'exercice régulier.
tête,head,,Il se touche la {{tête}} car il a mal.
visage,face,,Son {{visage}} exprime une grande joie et satisfaction.
oeil,eye,,L'{{oeil}} humain peut voir beaucoup de couleurs.
nez,nose,,Le {{nez}} aide à sentir tous les parfums.
bouche,mouth,,Elle ferme la {{bouche}} et sourit largement aux amis.
oreille,ear,,L'{{oreille}} droite entend mieux que la gauche.
dent,tooth,,Chaque {{dent}} doit être brossée deux fois par jour.
langue,tongue,,La {{langue}} française est parlée par des millions.
cou,neck,,Elle a un long {{cou}} gracieux et élégant.
épaule,shoulder,,Il a posé sa main sur son {{épaule}} doucement.
bras,arm,,Elle lève les {{bras}} vers le ciel bleu.
coude,elbow,,Le {{coude}} est l'articulation entre le bras et l'avant-bras.
poignet,wrist,,Sa montre est attachée au {{poignet}} droit fermement.
doigt,finger,,Elle pointe un {{doigt}} vers la fenêtre ouverte.
jambe,leg,,Il s'est cassé la {{jambe}} en jouant au football.
genou,knee,,L'enfant s'est écorché le {{genou}} en tombant.
pied,foot,,Elle marche pieds nus sur le {{pied}} du lit.
coeur,heart,,Son {{coeur}} bat très vite après l'exercice.
poumon,lung,,Fumer endommage gravement les {{poumons}} de façon irréversible.
estomac,stomach,,J'ai mal à l'{{estomac}} après ce repas lourd.
cerveau,brain,,Le {{cerveau}} contrôle toutes les fonctions du corps.
sang,blood,,Le {{sang}} circule dans les veines du corps.
os,bone,,L'{{os}} est très fragile chez les personnes âgées.
muscle,muscle,,Son {{muscle}} se développe grâce à l'entraînement régulier.
peau,skin,,La {{peau}} nécessite une protection solaire quotidienne importante.
cheveux,hair,,Elle se coiffe les {{cheveux}} tous les matins soigneusement.
vêtement,clothing,,Ce {{vêtement}} est trop petit pour lui maintenant.
chemise,shirt,,Il porte une {{chemise}} blanche au bureau aujourd'hui.
pantalon,trousers,,Son {{pantalon}} est déchiré au niveau du genou.
jupe,skirt,,Elle a acheté une {{jupe}} noire très élégante.
robe,dress,,La {{robe}} de mariée était magnifique et luxueuse.
veste,jacket,,Il met sa {{veste}} avant de sortir dehors.
manteau,coat,,Son {{manteau}} d'hiver est très chaud et confortable.
chaussure,shoe,,Elle a acheté une nouvelle {{chaussure}} de marque.
chaussette,sock,,Il porte des {{chaussettes}} blanches avec ses baskets.
chapeau,hat,,Le {{chapeau}} la protège du soleil très intense.
écharpe,scarf,,Elle enroule son {{écharpe}} autour du cou fermement.
gant,glove,,Il met un {{gant}} pour faire du sport.
pain,bread,,Elle achète du {{pain}} frais à la boulangerie.
riz,rice,,Nous mangeons du {{riz}} blanc avec du poulet.
pâtes,pasta,,Les {{pâtes}} cuisant dans l'eau bouillante sentent bon.
viande,meat,,La {{viande}} est riche en protéines essentielles.
poulet,chicken,,Nous préparons un {{poulet}} rôti pour le dîner.
oeuf,egg,,Elle casse un {{oeuf}} pour faire une omelette.
lait,milk,,L'enfant boit un verre de {{lait}} chaud.
fromage,cheese,,Le {{fromage}} français est excellent et très savoureux.
beurre,butter,,Elle étale du {{beurre}} sur sa tranche de pain.
huile,oil,,L'{{huile}} d'olive est bonne pour la santé.
sel,salt,,Il ajoute un peu de {{sel}} à la soupe.
sucre,sugar,,Le {{sucre}} rend le dessert très sucré et délicieux.
café,coffee,,Il prend un {{café}} noir le matin au réveil.
thé,tea,,Elle boit une tasse de {{thé}} vert chaud.
vin,wine,,Le {{vin}} rouge accompagne bien ce plat délicieux.
bière,beer,,Il commande une {{bière}} fraîche au bar.
jus,juice,,Le {{jus}} d'orange frais est très savoureux.
fruit,fruit,,Chaque {{fruit}} contient des vitamines essentielles.
pomme,apple,,Elle croque une {{pomme}} rouge dans la cuisine.
orange,orange,,L'{{orange}} est un agrume riche en vitamine.
raisin,grape,,Je mangé un {{raisin}} sucré à la fin du repas.
banane,banana,,Elle a mangé une {{banane}} au petit déjeuner ce matin.
fraise,strawberry,,Les {{fraises}} rouges du marché sont très délicieuses aujourd'hui.
citron,lemon,,J'ai pressé un {{citron}} frais pour la limonade maison.
tomate,tomato,,La {{tomate}} mûre du jardin est prête à être cueilli.
laitue,lettuce,,Je prépare une salade avec de la {{laitue}} croustillante.
carotte,carrot,,Les {{carottes}} oranges sont bonnes pour la vue et la santé.
oignon,onion,,L'{{oignon}} blanc que j'ai coupé me fait pleurer maintenant.
ail,garlic,,L'{{ail}} frais donne un goût excellent à tous les plats.
pomme de terre,potato,,Je fais bouillir une {{pomme de terre}} pour le dîner.
livre,book,,J'ai lu un {{livre}} intéressant pendant mes vacances d'été.
page,page,,La {{page}} suivante du roman révèle un secret important maintenant.
lettre,letter,,J'ai reçu une {{lettre}} de mon ami qui habite à Paris.
journal,newspaper,,Le {{journal}} du matin parle de nouvelles importantes du monde.
magazine,magazine,,Je feuillette un {{magazine}} de mode dans la salle d'attente.
nouvelle,news / short story,,Il a lu une {{nouvelle}} courte et captivante en une heure.
question,question,,J'ai posé une {{question}} difficile au professeur pendant le cours.
réponse,answer,,Elle a donné une {{réponse}} correcte à tous les exercices.
idée,idea,,J'ai eu une bonne {{idée}} pour résoudre ce problème mathématique.
opinion,opinion,,Son {{opinion}} sur la politique diffère complètement de la mienne.
mot,word,,Ce {{mot}} signifie quelque chose de très important en français.
phrase,sentence,,Construis une {{phrase}} grammaticalement correcte avec ces trois mots.
culture,culture,,La {{culture}} française est riche d'histoire et de traditions.
art,art,,L'{{art}} moderne fascine beaucoup de visiteurs au musée parisien.
musique,music,,J'aime écouter de la {{musique}} classique le soir après travail.
chanson,song,,Cette {{chanson}} populaire est connue dans le monde entier maintenant.
film,film / movie,,Nous avons regardé un {{film}} passionnant au cinéma samedi soir.
théâtre,theatre,,Les acteurs jouent une pièce intéressante au {{théâtre}} municipal.
sport,sport,,Mon {{sport}} préféré est le tennis que je pratique régulièrement.
football,football / soccer,,L'équipe de {{football}} a remporté une grande victoire hier soir.
tennis,tennis,,Je joue au {{tennis}} avec mes amis chaque mercredi matin.
natation,swimming,,La {{natation}} est un excellent sport pour la santé générale.
course,race,,Il a participé à une {{course}} de dix kilomètres ce dimanche.
équipe,team,,Notre {{équipe}} de volleyball a gagné le championnat régional récemment.
jeu,game,,Les enfants jouent à un {{jeu}} amusant dans le parc.
victoire,victory,,La {{victoire}} de l'équipe a été célébrée toute la nuit.
défaite,defeat,,La {{défaite}} inattendue a déçu les supporters de l'équipe.
prix,price / prize,,Le {{prix}} de ce livre est un peu élevé maintenant.
voyage,journey / trip,,Notre {{voyage}} en Italie était inoubliable et magnifique vraiment.
vacances,holidays,,Nous partons en {{vacances}} à la mer pendant deux semaines.
transport,transport,,Le {{transport}} en commun est pratique dans la grande ville.
voiture,car,,Ma {{voiture}} rouge est garée devant la maison actuellement.
bus,bus,,J'ai pris le {{bus}} pour aller au travail ce matin.
train,train,,Le {{train}} rapide arrive à la gare avec quinze minutes de retard.
avion,airplane,,L'{{avion}} décollera dans deux heures pour New York maintenant.
bateau,ship,,Nous avons navigué sur un grand {{bateau}} pendant nos vacances.
vélo,bicycle,,Je vais à l'école en {{vélo}} quand le temps est beau.
moto,motorcycle,,Son {{moto}} noire est très rapide et vraiment impressionnante.
billet,ticket,,Avez-vous acheté votre {{billet}} pour le concert de vendredi soir.
passeport,passport,,N'oublie pas ton {{passeport}} avant de partir en voyage.
valise,suitcase,,Ma {{valise}} est trop lourde pour le voyage.
carte,map / card,,J'ai besoin d'une {{carte}} pour explorer la ville.
technologie,technology,,La {{technologie}} change notre vie chaque jour.
ordinateur,computer,,Mon {{ordinateur}} est très rapide et puissant.
téléphone,phone,,Je consulte mon {{téléphone}} plusieurs fois par jour.
internet,internet,,L'{{internet}} est essentiel pour communiquer maintenant.
écran,screen,,L'{{écran}} de mon portable est fissuré.
clavier,keyboard,,Je tape rapidement sur mon {{clavier}} mécanique.
caméra,camera,,La {{caméra}} de surveillance enregistre tout le temps.
télévision,television,,Nous regardons les actualités à la {{télévision}}.
radio,radio,,J'écoute la {{radio}} en voiture le matin.
lumière,light,,La {{lumière}} du soleil illumine la pièce.
son,sound,,Le {{son}} de la musique me plaît beaucoup.
couleur,colour,,Quelle {{couleur}} préfères-tu pour ta chambre?
rouge,red,,La rose {{rouge}} symbolise l'amour et la passion.
bleu,blue,,Le ciel {{bleu}} est magnifique ce matin.
vert,green,,L'herbe {{verte}} couvre tout le terrain.
jaune,yellow,,Le soleil {{jaune}} brille intensément aujourd'hui.
noir,black,,J'ai un chat {{noir}} très gentil.
blanc,white,,La neige {{blanche}} recouvre les montagnes.
gris,grey,,Le ciel {{gris}} annonce une prochaine pluie.
douleur,pain,,Sa {{douleur}} au dos l'empêche de marcher.
maladie,illness,,La {{maladie}} l'a gardée au lit longtemps.
médicament,medicine,,Le {{médicament}} a soulagé mes maux de tête.
médecin,doctor,,Le {{médecin}} m'a prescrit une ordonnance.
infirmier,nurse,,L'{{infirmier}} prend soin des patients à l'hôpital.
santé,health,,Ta {{santé}} est plus importante que la richesse.
esprit,mind / spirit,,Un {{esprit}} positif aide à surmonter les obstacles.
émotion,emotion,,L'{{émotion}} envahit son cœur à ce moment.
peur,fear,,La {{peur}} du noir trouble mon enfance.
joie,joy,,La {{joie}} illumine son visage ce jour.
tristesse,sadness,,La {{tristesse}} remplit son cœur après cela.
amour,love,,L'{{amour}} vrai transcende toutes les différences.
haine,hate,,La {{haine}} détruit les relations très rapidement.
espoir,hope,,L'{{espoir}} nous aide à avancer chaque jour.
vérité,truth,,La {{vérité}} est souvent difficile à accepter.
mensonge,lie,,Son {{mensonge}} a blessé tous ses amis.
justice,justice,,La {{justice}} doit être équitable pour tous.
loi,law,,La {{loi}} protège les citoyens dans le pays.
police,police,,La {{police}} patrouille dans les rues la nuit.
guerre,war,,La {{guerre}} cause beaucoup de souffrance humaine.
paix,peace,,La {{paix}} est le désir de tous les peuples.
accident,accident,,L'{{accident}} s'est produit près de l'école.
danger,danger,,Le {{danger}} rôde dans cette zone la nuit.
sécurité,safety / security,,La {{sécurité}} doit être notre priorité absolue.
succès,success,,Son {{succès}} est le résultat du travail acharné.
échec,failure,,L'{{échec}} l'a motivé à essayer encore.
difficulté,difficulty,,La {{difficulté}} du projet nous a surpris beaucoup.
solution,solution,,Nous avons trouvé une {{solution}} rapide et efficace.
occasion,opportunity,,Cette {{occasion}} ne se reproduira plus jamais.
droit,right / law,,Chaque citoyen a le {{droit}} de voter aux élections.
responsabilité,responsibility,,La {{responsabilité}} des parents est d'éduquer les enfants.
liberté,freedom,,La {{liberté}} d'expression est un principe fondamental.
égalité,equality,,L'{{égalité}} entre les hommes et les femmes progresse.
communauté,community,,La {{communauté}} locale s'entraide en cas de crise.
nation,nation,,La {{nation}} française a une longue histoire riche.
région,region,,La {{région}} Bretagne est connue pour ses côtes.
capitale,capital city,,Paris est la {{capitale}} de la France depuis longtemps.
population,population,,La {{population}} mondiale augmente chaque année considérablement.
économie,economy,,L'{{économie}} française dépend du tourisme et du commerce.
commerce,trade / commerce,,Le {{commerce}} international crée des emplois dans beaucoup pays.
industrie,industry,,L'{{industrie}} automobile est très importante en France.
agriculture,agriculture,,L'{{agriculture}} biologique devient de plus en plus populaire.
environnement,environment,,Protéger l'{{environnement}} est une priorité pour tous.
nature,nature,,La {{nature}} nous offre des ressources précieuses et essentielles.
