word,meaning,native,sentence
benkyou suru,to study,勉強する,図書館で毎日{{勉強する}}。
shigoto suru,to work,仕事する,彼は毎日朝から晩まで{{仕事する}}。
undou suru,to exercise,運動する,健康のために毎朝{{運動する}}。
ryokou suru,to travel,旅行する,来月家族と日本に{{旅行する}}予定です。
sanpo suru,to take a walk,散歩する,天気が良い日は公園を{{散歩する}}。
denwa suru,to make a phone call,電話する,明日彼に{{電話する}}つもりです。
yobi suru,to invite,予備する,誕生日パーティーに友達を{{予備する}}。
keikaku suru,to plan,計画する,来年の{{計画する}}を今から立てています。
junbi suru,to prepare,準備する,試験のために{{準備する}}が必要です。
setsumei suru,to explain,説明する,先生が難しい理論を{{説明する}}。
soudan suru,to consult,相談する,進路について親に{{相談する}}しました。
renshuu suru,to practice,練習する,上達するために毎日{{練習する}}。
kakunin suru,to confirm,確認する,出発前に荷物を{{確認する}}。
chuumon suru,to order,注文する,レストランで料理を{{注文する}}。
yoyaku suru,to reserve,予約する,旅行前にホテルを{{予約する}}。
# ── Nouns ────────────────────────────────────────────────────────────────────
jikan,time,時間,この{{時間}}に何をしていましたか。
nen,year,年,去年は二千二十{{年}}でした。
jinsei,life,人生,{{人生}}は予想できないものです。
otoko,man,男,その{{男}}は背が高いです。
onna,woman,女,彼女は優しい{{女}}です。
hi,day,日,明日は金曜{{日}}ですね。
mono,thing,もの,机の上にいろいろな{{もの}}があります。
bubun,part,部分,この{{部分}}が一番大事です。
basho,place,場所,公園は遊ぶのに良い{{場所}}です。
toki,time / moment,時,忙しい{{時]]に手伝ってくれました。
houhou,way / method,方法,この{{方法}}は最も効率的で安全です。
hito,person,人,その{{人}}は毎日ここで働いています。
te,hand,手,{{手}}を上げて質問してください。
sekai,world,世界,{{世界}}中の人々が平和を望んでいます。
kai,time (occurrence),回,私は{{回}}数えて確認しました。
baai,case / situation,場合,{{場合}}によっては異なる答えになります。
shigoto,work / job,仕事,彼の{{仕事}}は毎日忙しいです。
mondai,problem,問題,この{{問題}}を解く方法を知っていますか。
kuni,country,国,日本は東アジアの{{国}}です。
machi,town / city,町,この{{町}}は山の近くにあります。
ie,house / home,家,私の{{家}}は川のそばにあります。
mizu,water,水,毎日新鮮な{{水}}を飲みます。
guruupu,group,グループ,私たちの{{グループ}}は五人です。
kaisha,company,会社,彼は大きな{{会社}}で働いています。
namae,name,名前,あなたの{{名前}}は何ですか。
kazu,number,数,この{{数}}は十より大きいです。
katachi,shape / form,形,円の{{形]]は非常に美しいです。
shisutemu,system,システム,新しい{{システム}}は来週から始まります。
rei,example,例,{{例]]えば、りんごは赤い果物です。
ten,point,点,テストで九十{{点]]を取りました。
seifu,government,政府,{{政府]]は新しい法律を作りました。
jouhou,information,情報,正確な{{情報]]をください。
rekishi,history,歴史,日本の{{歴史]]は非常に興味深いです。
kazoku,family,家族,私の{{家族]]は五人です。
shakai,society,社会,現代{{社会]]は複雑です。
reberu,level,レベル,この{{レベル]]は初級です。
shurui,type / kind,種類,様々な{{種類]]の野菜があります。
kankei,relationship,関係,その{{関係]]は非常に重要です。
katei,process,過程,学習の{{過程]]は時間がかかります。
saabisu,service,サービス,このお店の{{サービス]]は良いです。
seiji,politics,政治,{{政治]]についてもっと学びたいです。
henka,change,変化,季節の{{変化]]は自然です。
kekka,result,結果,その{{結果]]は予想と異なります。
okane,money,お金,{{お金]]は生活に必要です。
tsuki,month,月,この{{月]]は特に寒いです。
shuu,week,週,毎{{週]]月曜日にレッスンがあります。
yoru,night,夜,{{夜]]は星がきれいに見えます。
asa,morning,朝,毎{{朝]]六時に起きます。
gogo,afternoon,午後,{{午後]]に友達と遊びます。
yuu,evening,夕,{{夕]]方に散歩をします。
fun,minute,分,五{{分]]待ってください。
byou,second,秒,三十{{秒]]でその問題を解きました。
seiki,century,世紀,二十一{{世紀]]は現代です。
mirai,future,未来,{{未来]]は明るいと思います。
kako,past,過去,{{過去]]から多くを学びました。
genzai,present,現在,{{現在]]私は学生です。
hajimari,beginning,始まり,物語の{{始まり]]は非常に面白いです。
owari,end,終わり,映画の{{終わり]]は感動的でした。
chuushin,centre,中心,都市の{{中心]]に大きな公園があります。
kita,north,北,{{北]]の方は山が多いです。
minami,south,南,公園は駅の{{南}}にあります。
higashi,east,東,太陽は毎朝{{東}}から昇ります。
nishi,west,西,夕日は{{西}}の空に沈みます。
michi,road / path,道,学校へ行く{{道}}は長いです。
tobira,door,扉,部屋の{{扉}}を開けてください。
mado,window,窓,{{窓}}から海が見えます。
yuka,floor,床,{{床}}に荷物を置いてはいけません。
tenjou,ceiling,天井,{{天井}}のライトが壊れています。
kabe,wall,壁,{{壁}}に絵を掛けました。
heya,room,部屋,{{部屋}}は広くて明るいです。
daidokoro,kitchen,台所,{{台所}}で母が料理しています。
ofuro,bath / bathroom,お風呂,{{お風呂}}に入りたいです。
niwa,garden,庭,{{庭}}に花がたくさん咲いています。
tatemono,building,建物,この{{建物}}は百年前に作られました。
apato,apartment,アパート,私は{{アパート}}の三階に住んでいます。
hoteru,hotel,ホテル,{{ホテル}}の部屋はとても快適でした。
byouin,hospital,病院,妹は{{病院}}で医者に診てもらいました。
gakkou,school,学校,毎日{{学校}}に歩いて行きます。
daigaku,university,大学,兄は{{大学}}で物理を勉強しています。
toshokan,library,図書館,{{図書館}}で本を三冊借りました。
mise,shop / store,店,近くの{{店}}でパンを買いました。
ichiba,market,市場,日曜日に{{市場}}へ野菜を買いに行きます。
ginkou,bank,銀行,{{銀行}}でお金を引き出しました。
otera,temple,お寺,京都の{{お寺}}は本当に美しいです。
kouen,park,公園,{{公園}}で子供たちが遊んでいます。
kaigan,beach,海岸,夏は{{海岸}}で泳ぐのが好きです。
yama,mountain,山,{{山}}の頂上から景色が見えます。
kawa,river,川,{{川}}で魚がたくさん泳いでいます。
mizuumi,lake,湖,{{湖}}の水はとても冷たいです。
umi,sea,海,{{海}}に行ってサーフィンをしたいです。
mori,forest,森,{{森}}の中を散歩するのは気持ちいいです。
nohara,field,野原,{{野原}}に咲く花は素晴らしい。
sora,sky,空,{{空}}が青くて気持ちがいいです。
taiyou,sun,太陽,{{太陽}}が照っていて暑いです。
hoshi,star,星,夜空に{{星}}がたくさん輝いています。
kumo,cloud,雲,{{雲}}が空を覆っています。
ame,rain,雨,今日は{{雨}}が降るでしょう。
yuki,snow,雪,冬に{{雪}}が積もりました。
kaze,wind,風,{{風}}が強く吹いています。
tsuchi,earth / soil,土,{{土}}を耕して野菜を植えました。
ishi,stone,石,{{石}}を積み重ねて塀を作りました。
ki,tree,木,このテーブルは{{木}}で作られています。
hana,flower,花,春に{{花}}がいろいろ咲きます。
shokubutsu,plant,植物,この{{植物}}は毎日水をやります。
kusa,grass,草,{{草}}を刈る必要があります。
doubutsu,animal,動物,{{動物}}園で色々な動物を見ました。
inu,dog,犬,私の家の{{犬}}はとても賢いです。
neko,cat,猫,{{猫}}は日中ずっと寝ています。
tori,bird,鳥,朝の{{鳥}}の鳴き声で起きました。
sakana,fish,魚,{{魚}}は水がきれいな川に住みます。
uma,horse,馬,牧場に{{馬}}がたくさんいます。
ushi,cow,牛,農家の{{牛}}は毎日働きます。
karada,body,体,健康な{{体}}を保つことは大切です。
atama,head,頭,彼の{{頭}}はとても良いです。
kao,face,顔,彼女の{{顔}}はとても美しいです。
me,eye,目,猫の{{目}}は暗い所で光ります。
kuchi,mouth,口,{{口}}を大きく開けて歌います。
mimi,ear,耳,犬の{{耳}}は長くて柔らかいです。
ha,tooth,歯,毎日{{歯}}を磨くことが大切です。
shita,tongue,舌,{{舌}}で食べ物の味を感じます。
kubi,neck,首,彼の{{首}}にはネックレスがあります。
kata,shoulder,肩,重い荷物で{{肩}}が痛いです。
ude,arm,腕,彼は{{腕}}の力が強いです。
hiji,elbow,肘,{{肘}}をテーブルに置いてはいけません。
tekubi,wrist,手首,{{手首}}の時計がとても高いです。
yubi,finger,指,{{指}}で画面をタッチします。
ashi,leg / foot,足,毎日{{足}}で走って運動します。
hiza,knee,膝,{{膝}}を曲げてしゃがみます。
shinzou,heart,心臓,{{心臓}}は体の中で重要な器官です。
hai,lung,肺,{{肺}}で空気を吸い込みます。
i,stomach,胃,{{胃}}が痛いので病院に行きました。
nou,brain,脳,人間の{{脳}}は非常に複雑です。
chi,blood,血,{{血}}が体中を流れています。
hone,bone,骨,{{骨}}は体を支える役割があります。
kinniku,muscle,筋肉,運動することで{{筋肉}}が強くなります。
hada,skin,肌,良い{{肌}}を保つため毎日ケアします。
kami,hair,髪,彼女の{{髪}}はロングでとても綺麗です。
fuku,clothes,服,今日着る{{服}}を選んでいます。
shatsu,shirt,シャツ,白い{{シャツ}}が欲しいです。
zubon,trousers,ズボン,新しい{{ズボン}}を買いました。
sukato,skirt,スカート,赤い{{スカート}}はとても可愛いです。
doresu,dress,ドレス,結婚式に{{ドレス}}を着ます。
jaketto,jacket,ジャケット,冬に{{ジャケット}}を着て出かけます。
kooto,coat,コート,暖かい{{コート}}を着ています。
kutsu,shoes,靴,新しい{{靴}}を履いて歩きます。
kutsushita,socks,靴下,{{靴下}}が片方なくなりました。
boushi,hat,帽子,日差しから{{帽子}}をかぶります。
maafuraa,scarf,マフラー,冬に{{マフラー}}を巻いて出かけます。
tebukuro,gloves,手袋,寒い日は{{手袋}}をはめます。
pan,bread,パン,毎朝{{パン}}を食べます。
gohan,cooked rice / meal,ご飯,{{ご飯}}をいただきます。
pasuta,pasta,パスタ,イタリアンレストランで{{パスタ}}を食べました。
niku,meat,肉,夜ご飯に{{肉}}を焼きます。
toriniku,chicken,鶏肉,{{鶏肉}}はヘルシーな食べ物です。
tamago,egg,卵,朝食に{{卵}}を焼いて食べます。
gyuunyuu,milk,牛乳,毎朝{{牛乳}}を飲みます。
chiiizu,cheese,チーズ,{{チーズ}}をパンにのせて食べます。
bataa,butter,バター,{{バター}}をパンに塗ります。
abura,oil,油,料理に{{油}}を使って炒めます。
shio,salt,塩,食べ物に{{塩}}をかけて食べます。
satou,sugar,砂糖,コーヒーに{{砂糖}}を入れます。
koohii,coffee,コーヒー,毎朝{{コーヒー}}を飲みます。
ocha,tea,お茶,{{お茶}}は日本の文化です。
wain,wine,ワイン,夜{{ワイン}}を一杯飲みました。
biiru,beer,ビール,夏{{ビール}}がとても美味しいです。
juusu,juice,ジュース,子供はオレンジ{{ジュース}}が好きです。
kudamono,fruit,果物,毎日{{果物}}を食べています。
ringo,apple,りんご,{{りんご}}は赤くて甘いです。
orenji,orange,オレンジ,{{オレンジ}}はビタミンCが多いです。
budou,grapes,ぶどう,{{ぶどう}}をたくさん買いました。
banana,banana,バナナ,朝食で{{バナナ}}を食べます。
ichigo,strawberry,いちご,{{いちご}}ケーキは美味しいです。
remon,lemon,レモン,紅茶に{{レモン}}を絞りました。
tomato,tomato,トマト,サラダに{{トマト}}を入れました。
retasu,lettuce,レタス,{{レタス}}は新鮮で緑です。
ninjin,carrot,にんじん,{{にんじん}}はオレンジ色ですね。
tamanegi,onion,たまねぎ,{{たまねぎ}}は辛い野菜です。
ninniku,garlic,にんにく,{{にんにく}}の香りは強いです。
jagaimo,potato,じゃがいも,{{じゃがいも}}でポテトを作ります。
hon,book,本,図書館で{{本}}を借りました。
peeji,page,ページ,この{{ページ}}は読みにくいです。
tegami,letter,手紙,友達に{{手紙}}を送りました。
shinbun,newspaper,新聞,毎日{{新聞}}を読みます。
zasshi,magazine,雑誌,{{雑誌}}に興味深い記事があります。
nyuusu,news,ニュース,{{ニュース}}を見ました。
shitsumon,question,質問,先生に{{質問}}があります。
kotae,answer,答え,その{{答え}}は正しいです。
kangae,idea,考え,いい{{考え}}をありがとう。
iken,opinion,意見,彼の{{意見}}に賛成します。
kotoba,word,言葉,この{{言葉}}の意味は何ですか。
bun,sentence,文,これは長い{{文}}です。
gengo,language,言語,{{言語}}を勉強するのは楽しいです。
bunka,culture,文化,日本の{{文化}}は素晴らしいです。
geijutsu,art,芸術,{{芸術}}は人生を豊かにします。
ongaku,music,音楽,{{音楽}}を聞くのが好きです。
uta,song,歌,新しい{{歌}}を歌っています。
eiga,film / movie,映画,昨日{{映画}}を見ました。
gekijou,theatre,劇場,{{劇場}}でオペラを観ました。
supootsu,sport,スポーツ,{{スポーツ}}は健康に良いです。
sakkaa,football / soccer,サッカー,子供は{{サッカー}}をしています。
tenisu,tennis,テニス,{{テニス}}のコートは綺麗です。
suiei,swimming,水泳,{{水泳}}は運動です。
resu,race,レース,{{レース}}に出場しました。
chiimu,team,チーム,私たちの{{チーム}}が勝ちました。
geemu,game,ゲーム,{{ゲーム}}をしましょう。
shouri,victory,勝利,最後の{{勝利}}は素晴らしかったです。
haiboku,defeat,敗北,{{敗北}}から学ぶことが多いです。
shouhin,prize,賞品,優勝者は{{賞品}}をもらいました。
ryokou,journey / trip,旅行,来月{{旅行}}に行きます。
yasumi,holiday / rest,休み,週末{{休み}}です。
koutsuu,transport,交通,毎日{{交通}}機関を使って通勤しています。
kuruma,car,車,新しい{{車}}を買いました。
basu,bus,バス,朝{{バス}}で学校に行きます。
densha,train,電車,{{電車}}は時間に正確です。
hikouki,airplane,飛行機,{{飛行機}}で日本に来ました。
fune,ship,船,大きい{{船}}が港にいます。
jitensha,bicycle,自転車,毎日{{自転車}}で公園へ行きます。
otobai,motorcycle,オートバイ,兄は{{オートバイ}}で仕事に行きます。
kippu,ticket,切符,{{切符}}を買ってから乗ります。
pasupooto,passport,パスポート,旅行に{{パスポート}}が必要です。
suutsu,suitcase,スーツケース,{{スーツケース}}に荷物を入れました。
chizu,map,地図,{{地図}}を見ながら歩きます。
gijutsu,technology,技術,新しい{{技術}}が開発されました。
pasokon,computer,パソコン,毎日{{パソコン}}で仕事をします。
denwa,phone,電話,{{電話}}で友達に連絡しました。
intaanetto,internet,インターネット,{{インターネット}}で情報を探します。
gamen,screen,画面,{{画面}}に映像が表示されます。
kiibodo,keyboard,キーボード,{{キーボード}}でメールを入力します。
kamera,camera,カメラ,{{カメラ}}で写真を撮りました。
terebi,television,テレビ,毎晩{{テレビ}}を見ています。
rajio,radio,ラジオ,朝{{ラジオ}}を聞きます。
akari,light,明かり,夜{{明かり}}をつけます。
oto,sound,音,大きい{{音}}がします。
iro,colour,色,好きな{{色}}は何ですか。
ao,blue,青,空は{{青}}いです。
midori,green,緑,草は{{緑}}色です。
kiiro,yellow,黄色,バナナは{{黄色}}です。
kuro,black,黒,{{黒}}いペンを使っています。
shiro,white,白,雪は{{白}}いです。
haiiro,grey,灰色,{{灰色}}の服を着ています。
itami,pain,痛み,頭の{{痛み}}があります。
byouki,illness,病気,{{病気}}になったので休みました。
kusuri,medicine,薬,{{薬}}を飲んでください。
isha,doctor,医者,{{医者}}に診てもらいました。
kangoshi,nurse,看護師,{{看護師}}が親切です。
kenkou,health,健康,{{健康}}が一番大事です。
kokoro,mind / heart,心,{{心}}が痛いです。
kimochi,feeling / emotion,気持ち,良い{{気持ち}}になりました。
kyoufu,fear,恐怖,{{恐怖}}を感じています。
yorokobi,joy,喜び,{{喜び}}を感じました。
kanashimi,sadness,悲しみ,深い{{悲しみ}}があります。
ai,love,愛,親の{{愛}}は大切です。
nikushimi,hate,憎しみ,{{憎しみ}}は良くないです。
kibou,hope,希望,未来に{{希望}}を持っています。
shinjitsu,truth,真実,{{真実}}を話してください。
uso,lie,嘘,{{嘘}}をついてはいけません。
seigi,justice,正義,{{正義}}のために戦います。
houritsu,law,法律,{{法律}}を守るべきです。
keisatsu,police,警察,{{警察}}に連絡しました。
sensou,war,戦争,{{戦争}}は終わりました。
heiwa,peace,平和,世界に{{平和}}がくることを願っています。
jiko,accident,事故,高速道路で{{事故}}が起きました。
kiken,danger,危険,この橋は{{危険}}なので渡らないでください。
anzen,safety,安全,子どもの{{安全}}が最も大切です。
seikou,success,成功,努力すれば{{成功}}することができます。
shippai,failure,失敗,最初の試験は{{失敗}}してしまいました。
konnan,difficulty,困難,この問題は{{困難}}ですが解けます。
kaiketsu,solution,解決,良い{{解決}}方法を見つけました。
kikai,opportunity,機会,新しい{{機会}}を逃してはいけません。
kenri,right,権利,すべての人は平等な{{権利}}があります。
sekinin,responsibility,責任,私たちは環境を守る{{責任}}があります。
jiyu,freedom,自由,表現の{{自由}}は とても大切です。
byoudou,equality,平等,社会における{{平等}}は重要な課題です。
komyuniti,community,コミュニティ,私たちの{{コミュニティ}}は とても親切です。
kokumin,nation / people,国民,日本の{{国民}}は約一億人です。
chiiki,region,地域,私の{{地域}}には公園がたくさんあります。
shuto,capital city,首都,東京は日本の{{首都}}です。
jinkou,population,人口,世界の{{人口}}は年々増加しています。
keizai,economy,経済,国の{{経済}}成長は大切です。
boueki,trade,貿易,日本は多くの国と{{貿易}}をしています。
sangyou,industry,産業,自動車{{産業}}は日本の重要な産業です。
nougyou,agriculture,農業,{{農業}}は食料生産に欠かせません。
kankyou,environment,環境,{{環境}}保全は私たちの責任です。
shizen,nature,自然,{{自然}}の美しさに感動しました。
enerugii,energy,エネルギー,再生可能な{{エネルギー}}の利用が増えています。
shigen,resource,資源,天然{{資源}}を大切に使う必要があります。
osen,pollution,汚染,空気の{{汚染}}が問題になっています。
kikou,climate,気候,この地域の{{気候}}は温暖です。
ondo,temperature,温度,今日の{{温度}}は三十度です。
# ── Adjectives ───────────────────────────────────────────────────────────────
ii,good,いい,このレストランの食事は{{いい}}です。
warui,bad,悪い,その行動は{{悪い}}習慣です。
ooki,big,大きい,富士山は{{大きい}}山です。
chiisai,small,小さい,生まれたばかりの赤ちゃんは{{小さい}}です。
atarashii,new,新しい,{{新しい}}携帯電話を買いました。
furui,old,古い,この建物は{{古い}}です。
wakai,young,若い,彼は{{若い}}から頑張ります。
takai,tall / expensive,高い,この山は{{高い}}です。
hikui,low / short,低い,その建物の天井は{{低い}}です。
nagai,long,長い,この川は{{長い}}です。
mijikai,short,短い,冬の昼間は{{短い}}です。
hiroi,wide / spacious,広い,このグラウンドは{{広い}}です。
semai,narrow / small (space),狭い,私たちの教室は{{狭い}}です。
futoi,fat / thick,太い,象の足は{{太い}}です。
hosoi,thin,細い,糸は{{細い}}です。
tsuyoi,strong,強い,このロープは{{強い}}です。
yowai,weak,弱い,病気の時は体が{{弱い}}です。
hayai,fast,速い,光は{{速い}}です。
osoi,slow / late,遅い,電車が{{遅い}}ので遅刻しました。
yasashii,easy / kind,優しい,先生は{{優しい}}人です。
muzukashii,difficult,難しい,この数学の問題は{{難しい}}です。
daiji,important,大事,健康は人生で{{大事}}な事です。
hitsuyou,necessary,必要,大学に入るために{{必要}}な勉強があります。
kanousei,possibility / potential,可能性,彼の{{可能性}}は無限にあると思います。
hontou,true / real,本当,それは{{本当}}の話ですか？
yuufu,rich,裕福,彼は{{裕福}}な家族から来ました。
mazushii,poor,貧しい,昔は{{貧しい}}生活をしていました。
ureshii,happy,嬉しい,合格して{{嬉しい}}気持ちです。
kanashii,sad,悲しい,友達が引っ越して{{悲しい}}です。
okotte iru,angry,怒っている,先生は学生に{{怒っている}}ようです。
ochitsuite iru,calm,落ち着いている,試験の時に{{落ち着いている}}ことが大切です。
kinchousuru,nervous,緊張する,大事な発表で{{緊張する}}でしょう。
tsumaranai,boring,つまらない,その映画は{{つまらない}}から見ません。
omoshiroi,interesting,面白い,このゲームは{{面白い}}と思います。
utsukushii,beautiful,美しい,桜は{{美しい}}花ですね。
minikui,ugly,醜い,その絵は{{醜い}}と言われました。
kirei,clean / pretty,きれい,彼女の部屋は{{きれい}}です。
kitanai,dirty,汚い,靴が{{汚い}}から洗います。
ippai,full,いっぱい,コップが水で{{いっぱい}}です。
kara,empty,空,袋が{{空}}になりました。
aite iru,open,開いている,窓が{{開いている}}からエアコンをつけます。
shimatte iru,closed,閉まっている,ドアが{{閉まっている}}ので入れません。
jiyuu,free,自由,週末は{{自由}}に過ごしたいです。
isogashii,busy,忠しい,今月は{{忙しい}}ので休めません。
chigau,different,違う,私の意見は彼の意見と{{違う}}。
onaji,same,同じ,私たちは{{同じ}}学校に通います。
tokubetsu,special,特別,今日は{{特別]]な日ですから。
futsuu,normal,普通,これは{{普通]]の事です。
hen,strange,変,彼の行動は{{変]]だと思います。
yoku aru,common,よくある,田中さんはここに{{よくある]]ようです。
mezurashii,rare,珍しい,この花は{{珍しい]]から見てください。
kinkyu,urgent,緊急,これは{{緊急]]な問題です。
gendai,modern,現代,{{現代]]の技術は素晴らしいです。
kodai,ancient,古代,{{古代]]のエジプト文明を勉強します。
jinkouteki,artificial,人工的,この物は{{人工的]]に作られました。
taishiteki,physical,体質的,{{体質的]]に弱いから気をつけます。
seishinteki,mental,精神的,{{精神的]]に強くなりたいです。
shakaitekina,social,社会的な,{{社会的な]]問題について考えます。
seijitekina,political,政治的な,{{政治的な]]活動に参加したいです。
keizaiteki,economic,経済的,{{経済的]]に困っている家庭があります。
bunkashiki,cultural,文化式,{{文化式]]な違いを理解しましょう。
kokuminteki,national,国民的,{{国民的]]な行事を祝います。
kokusaiteki,international,国際的,{{国際的]]な協力が必要です。
chiikiteki,local,地域的,{{地域的]]な問題を解決します。
koukyou,public,公共,{{公共]]の場所を大事にします。
watashiteki,private,私的,{{私的]]な事柄について話します。
kojin,personal,個人,{{個人]]の意見を尊重します。
senmonka,professional,専門家,医者は{{専門家]]です。
kashikoi,intelligent / clever,賢い,彼は{{賢い]]から好かれています。
makajime,serious,真剣,彼は{{真剣]]に仕事をしています。
okashii,funny,おかしい,その話は{{おかしい]]から笑いました。
shinsetsu,kind / friendly,親切,田中さんは{{親切}}な人です。
shoujiki,honest,正直,彼は{{正直}}に答えました。
kimanai,generous,気前ない,その人は{{気前ない}}性格です。
yuukan,brave,勇敢,消防士は{{勇敢}}に火に立ち向かった。
nintai,patient,忍耐,成功には{{忍耐}}が必要です。
kassei,active,活性,この会社は{{活性}}化しています。
# ── Adverbs ──────────────────────────────────────────────────────────────────
totemo,very,とても,今日は{{とても}}寒いです。
motto,more,もっと,{{もっと}}勉強する必要があります。
motto sukunaku,less,もっと少なく,{{もっと少なく}}食べるべきです。
mo,also / too,も,私{{も}}一緒に行きます。
mou,already,もう,宿題は{{もう}}終わりました。
mada,still / not yet,まだ,彼は{{まだ}}来ていません。
kesshite,never,決して,私は{{決して}}嘘をつきません。
itsumo,always,いつも,彼女は{{いつも}}笑顔です。
hotondo,almost,ほとんど,学生は{{ほとんど}}全員来ました。
dake,only,だけ,水{{だけ}}飲んでください。
juubun,enough,十分,時間は{{十分}}あります。
sugiru,too much,すぎる,塩が{{すぎる}}と味が悪い。
sukoshi,a little,少し,{{少し}}手伝ってください。
takusan,a lot,たくさん,公園に子供が{{たくさん}}います。
jyouzu,well / skillfully,上手,田中さんは英語が{{上手}}です。
heta,badly,下手,私は絵が{{下手}}です。
motto yoku,better,もっとよく,{{もっとよく}}聞いてください。
hayaku,quickly,速く,{{速く}}走ってください。
yukkuri,slowly,ゆっくり,{{ゆっくり}}歩きましょう。
kantan ni,easily,簡単に,この問題は{{簡単に}}解けます。
tabun,probably,たぶん,{{たぶん}}明日雨が降ります。
moshikashitara,perhaps,もしかしたら,{{もしかしたら}}彼は来るかもしれません。
zettai ni,certainly,絶対に,私は{{絶対に}}成功します。
hontou ni,really,本当に,これは{{本当に}}素晴らしいです。
