word,meaning,native,sentence,ipa
öffnen,to open,,Ich {{öffne}} die Tür und rufe laut Hallo.,ˈʔœfnən
schließen,to close,,"Bitte {{schließe}} das Fenster, es ist zu kalt.",ˈʃliːsən
brauchen,to need,,Ich {{brauche}} neue Schuhe für den Winter.,ˈbʁaʊ̯xən
möchten,to would like,,Wir {{möchten}} gerne nach Frankreich fahren nächstes Jahr.,ˈmɔçtən
versuchen,to try,,"Der Schüler {{versucht}}, die schwere Aufgabe zu lösen.",fɛʁˈzuːxən
benutzen,to use,,Ich {{benutze}} den Computer jeden Tag für Arbeit.,bəˈnʊtsən
ändern,to change,,Das Wetter {{ändert}} sich ständig im Frühling.,ˈɛndɐn
beginnen,to begin,,Der Film {{beginnt}} um acht Uhr heute Abend.,bəˈɡɪnən
enden,to end,,Die Schule {{endet}} um drei Uhr nachmittags.,ˈʔɛndən
fallen,to fall,,Die Blätter {{fallen}} im Herbst von den Bäumen.,ˈfalən
steigen,to climb / to rise,,Die Temperatur {{steigt}} morgen auf dreißig Grad.,ˈʃtaɪ̯ɡən
treten,to step / to kick,,Bitte nicht auf die Blumen {{treten}} im Garten.,ˈtʁeːtən
fahren,to drive / to travel,,Wir {{fahren}} morgen mit dem Auto nach Berlin.,ˈfaːʁən
fliegen,to fly,,Der Vogel {{fliegt}} hoch über das Haus.,ˈfliːɡən
schwimmen,to swim,,Die Kinder {{schwimmen}} gerne im Sommer im See.,ˈʃvɪmən
kochen,to cook,,Meine Mutter {{kocht}} heute ein leckeres Abendessen.,ˈkɔxən
putzen,to clean,,Ich {{putze}} mein Zimmer jeden Samstag sehr gründlich.,ˈpʊtsən
waschen,to wash,,Kannst du bitte die Wäsche {{waschen}} heute?,ˈvaʃən
reisen,to travel,,Wir {{reisen}} jedes Jahr in den Süden.,ˈʁaɪ̯zən
besuchen,to visit,,Ich {{besuche}} meine Großmutter nächstes Wochenende.,bəˈzuːxən
warten,to wait,,Wir {{warten}} auf den Bus vor der Schule.,ˈvaʁtən
bezahlen,to pay,,Der Mann {{bezahlt}} die Rechnung mit Kreditkarte.,bəˈtsaːlən
gewinnen,to win,,Unsere Mannschaft {{gewinnt}} das Spiel heute Abend.,ɡəˈvɪnən
verlieren,to lose,,Ich {{verliere}} meine Schlüssel fast jeden Tag.,fɛɐ̯ˈliːʁən
verstehen,to understand,,Ich {{verstehe}} diese Mathematik-Aufgabe nicht sehr gut.,fɛɐ̯ˈʃteːən
erklären,to explain,,Der Lehrer {{erklärt}} die schwierige Grammatik-Regel.,ʔɛɐ̯ˈklɛːʁən
antworten,to answer,,Die Schülerin {{antwortet}} richtig auf die Frage.,ˈʔantvɔɐ̯tən
empfangen,to receive,,Wir {{empfangen}} unsere Gäste herzlich im Wohnzimmer.,ʔɛmˈpfaŋən
senden,to send,,Die Telefongesellschaft {{sendet}} mir eine Rechnung monatlich.,ˈzɛndən
vergessen,to forget,,Ich {{vergesse}} immer meinen Regenschirm zu Hause.,fɛɐ̯ˈɡɛsən
erinnern,to remember,,Das Lied {{erinnert}} mich an meine Kindheit.,ʔɛɐ̯ˈɪnɐn
träumen,to dream,,Nachts {{träume}} ich oft von interessanten Abenteuern.,ˈtʁɔɪ̯mən
glauben,to believe,,Ich {{glaube}} nicht an Märchen und Legenden.,ˈɡlaʊ̯bən
vertrauen,to trust,,Du kannst mir {{vertrauen}} in jeder Situation.,fɛɐ̯ˈtʁaʊ̯ən
lieben,to love,,Ich {{liebe}} meine Familie sehr über alles.,ˈliːbən
hassen,to hate,,Er {{hasst}} früh morgens aufstehen absolut.,ˈhasən
lächeln,to smile,,Das Mädchen {{lächelt}} mich freundlich an.,ˈlɛçəln
lachen,to laugh,,Wir {{lachen}} über den lustigen Film gemeinsam.,ˈlaxən
weinen,to cry,,Das Baby {{weint}} die ganze Nacht lang.,ˈvaɪ̯nən
schreien,to shout / to scream,,Die Kinder {{schreien}} laut auf dem Spielplatz.,ˈʃʁaɪ̯ən
singen,to sing,,Sie {{singt}} wunderbar in der Schultheater-Aufführung.,ˈzɪŋən
tanzen,to dance,,Alle {{tanzen}} gerne auf der Hochzeitsfeier.,ˈtantsən
bauen,to build,,Der Architekt {{baut}} ein modernes Gebäude dort.,ˈbaʊ̯ən
brechen,to break,,Das Glas {{bricht}} in tausend kleine Stücke.,ˈbʁɛçən
berühren,to touch,,Bitte {{berühre}} nicht die heißen Pfanne jetzt.,bəˈʁyːʁən
fühlen,to feel,,Ich {{fühle}} mich heute sehr müde und schwach.,ˈfyːlən
entscheiden,to decide,,Wir {{entscheiden}} uns für den blauen Mantel.,ʔɛntˈʃaɪ̯dən
wählen,to choose / to vote,,Die Bürger {{wählen}} am nächsten Sonntag den Präsidenten.,ˈvɛːlən
erlauben,to allow,,Meine Eltern {{erlauben}} mir nicht spät aufzubleiben.,ʔɛɐ̯ˈlaʊ̯bən
verbieten,to forbid,,Der Direktor {{verbietet}} das Rauchen auf dem Schulhof.,fɛɐ̯ˈbiːtən
anbieten,to offer,,Der Verkäufer {{bietet}} mir einen Rabatt an heute.,ˈʔanbiːtən
erhalten,to receive / to maintain,,Ich {{erhalte}} monatlich eine Gehalt von meinem Arbeitgeber.,ʔɛɐ̯ˈhaltən
produzieren,to produce,,Diese Fabrik {{produziert}} tausende Autos pro Jahr.,pʁoduˈtsiːʁən
entwickeln,to develop,,Die Wissenschaftler {{entwickeln}} neue Technologie für die Medizin.,ʔɛntˈvɪkəln
verbessern,to improve,,Ich {{verbessere}} mein Englisch durch tägliches Sprechen.,fɛɐ̯ˈbɛsɐn
lösen,to solve,,Der Detektiv {{löst}} das schwierige Rätsel schnell.,ˈlœzən
vermeiden,to avoid,,Wir {{vermeiden}} die verkehrsreichsten Straßen am Mittag.,fɛɐ̯ˈmaɪ̯dən
erreichen,to reach / to achieve,,Wir {{erreichen}} unsere Ziele durch harte Arbeit.,ɛɐ̯ˈʁaɪ̯çən
erhöhen,to increase,,Die Regierung will die Steuern {{erhöhen}}.,ɛɐ̯ˈhøːən
reduzieren,to reduce,,Wir müssen die Kosten {{reduzieren}}.,ʁeduˈtsiːʁən
vorstellen,to introduce / to imagine,,Darf ich dir meinen Freund {{vorstellen}}?,ˈfoːɐ̯ʃtɛlən
darstellen,to represent,,Diese Grafik {{stellt}} die Daten dar.,ˈdaːɐ̯ʃtɛlən
gehören,to belong,,Dieses Buch {{gehört}} meiner Schwester.,ɡəˈhøːʁən
bestehen,to exist / to pass (exam),,Er {{besteht}} die Prüfung mit guten Noten.,bəˈʃteːən
entstehen,to emerge / to arise,,Neue Ideen {{entstehen}} durch Diskussionen.,ɛntˈʃteːən
# ── Nouns ────────────────────────────────────────────────────────────────────
die Zeit,time,,{{Die Zeit}} vergeht sehr schnell im Urlaub.,diː ˈtsaɪ̯t
das Jahr,year,,Nächstes {{Jahr}} fahren wir nach Italien.,das ˈjaːɐ̯
das Leben,life,,{{Das Leben}} ist voller interessanter Überraschungen.,das ˈleːbən
der Mann,man,,Der {{Mann}} arbeitet in einer großen Firma.,deːɐ̯ ˈman
die Frau,woman,,Die {{Frau}} spricht drei Sprachen fließend.,diː ˈfʁaʊ̯
der Tag,day,,Heute ist ein schöner {{Tag}} geworden.,deːɐ̯ ˈtaːk
die Sache,thing,,Diese {{Sache}} ist mir sehr wichtig.,diː ˈzaxə
der Teil,part,,Der erste {{Teil}} des Films war spannend.,deːɐ̯ ˈtaɪ̯l
der Ort,place,,Berlin ist ein wunderbar schöner {{Ort}}.,deːɐ̯ ˈɔʁt
der Moment,moment,,In diesem {{Moment}} wusste ich die Antwort.,deːɐ̯ moˈmɛnt
die Art,way / kind,,"Die {{Art,}} wie er spricht, ist lustig.",diː ˈaʁt
die Person,person,,Diese {{Person}} kenne ich seit vielen Jahren.,diː pɛɐ̯ˈzoːn
die Hand,hand,,Sie reichte mir freundlich die {{Hand}}.,diː ˈhant
die Welt,world,,Die {{Welt}} wird immer kleiner und vernetzter.,diː ˈvɛlt
das Mal,time (occurrence),,Das nächste {{Mal}} rufe ich dich vorher an.,das ˈmaːl
der Fall,case,,In diesem {{Fall}} können wir nicht helfen.,deːɐ̯ ˈfal
die Arbeit,work / job,,Meine {{Arbeit}} macht mir viel Spaß.,diː ˈaʁbaɪ̯t
das Problem,problem,,Wir haben ein großes {{Problem}} mit dem Auto.,das pʁoˈbleːm
das Land,country,,Dieses {{Land}} hat eine faszinierende Kultur.,das ˈlant
die Stadt,city,,Die {{Stadt}} hat über zwei Millionen Einwohner.,diː ˈʃtat
das Haus,house,,Unser {{Haus}} liegt in einem ruhigen Viertel.,das ˈhaʊ̯s
das Wasser,water,,Das {{Wasser}} im See ist heute sehr kalt.,das ˈvasɐ
die Gruppe,group,,Unsere {{Gruppe}} besteht aus zehn Personen.,diː ˈɡʁʊpə
das Unternehmen,company,,Das {{Unternehmen}} beschäftigt über tausend Mitarbeiter.,das ˈʊntɐneːmən
der Name,name,,Sein {{Name}} ist mir leider entfallen.,deːɐ̯ ˈnaːmə
die Zahl,number,,Die {{Zahl}} der Besucher stieg kontinuierlich an.,diː ˈtsaːl
die Form,form / shape,,Die {{Form}} des Objekts ist sehr interessant.,diː ˈfɔʁm
das System,system,,Dieses {{System}} funktioniert besser als das alte.,das zɪsˈteːm
das Beispiel,example,,Ein gutes {{Beispiel}} hilft oft beim Verstehen.,das ˈbaɪ̯ʃpiːl
der Punkt,point,,An diesem {{Punkt}} stimme ich dir zu.,deːɐ̯ ˈpʊŋkt
die Regierung,government,,Die {{Regierung}} plant neue Maßnahmen für Nachhaltigkeit.,diː ʁeˈɡiːʁʊŋ
die Information,information,,Diese {{Information}} ist sehr wertvoll für mich.,diː ɪnfɔʁmaˈtsiːoːn
die Geschichte,history / story,,Die {{Geschichte}} Deutschlands ist sehr beweglich.,diː ɡəˈʃɪçtə
die Familie,family,,Meine {{Familie}} lebt seit Generationen hier.,diː faˈmiːliə
die Gesellschaft,society,,Die {{Gesellschaft}} muss sich wandeln und anpassen.,diː ɡəˈzɛlʃaft
das Niveau,level,,Das {{Niveau}} der Diskussion war ziemlich hoch.,das niˈvoː
die Beziehung,relationship,,Unsere {{Beziehung}} ist über die Jahre stärker geworden.,diː bəˈtsiːʊŋ
der Prozess,process,,Der {{Prozess}} dauert leider noch mehrere Wochen.,deːɐ̯ pʁoˈtsɛs
der Dienst,service,,Dieser {{Dienst}} ist kostenfrei für alle Kunden.,deːɐ̯ ˈdiːnst
die Politik,politics / policy,,Die {{Politik}} ist ein komplexes und wichtiges Thema.,diː poliˈtiːk
die Änderung,change,,Diese {{Änderung}} war längst überfällig geworden.,diː ˈɛndəʁʊŋ
das Ergebnis,result,,Das {{Ergebnis}} der Wahl war überraschend.,das ɛɐ̯ˈɡeːpnɪs
das Geld,money,,Ich habe nicht genug {{Geld}} für diese Reise.,ˈdɑs ɡɛlt
die Stunde,hour,,Eine {{Stunde}} hat sechzig Minuten.,ˈdiː ˈʃtʊndə
der Monat,month,,Der {{Monat}} Januar hat einunddreißig Tage.,ˈdeːɐ̯ ˈmoːnat
die Woche,week,,Eine {{Woche}} hat sieben Tage.,ˈdiː ˈvɔxə
die Nacht,night,,In der {{Nacht}} schlafen wir normalerweise.,ˈdiː ˈnɑxt
der Morgen,morning,,Jeden {{Morgen}} trinke ich Kaffee.,ˈdeːɐ̯ ˈmɔʁɡən
der Nachmittag,afternoon,,Am {{Nachmittag}} gehe ich ins Gymnasium.,ˈdeːɐ̯ ˈnɑxˌmɪtɑk
der Abend,evening,,Am {{Abend}} schaue ich fern.,ˈdeːɐ̯ ˈʔaːbənt
die Minute,minute,,"Warte eine {{Minute}}, ich bin gleich fertig.",ˈdiː mɪˈnuːtə
die Sekunde,second,,Das dauert nur eine {{Sekunde}}.,ˈdiː zeˈkʊndə
das Jahrhundert,century,,Das neunzehnte {{Jahrhundert}} war sehr wichtig.,ˈdɑs jɑɐ̯ˈhuːndɐt
die Zukunft,future,,Die {{Zukunft}} ist ungewiss und spannend.,ˈdiː ˈtsuːkʊnft
die Vergangenheit,past,,Wir können die {{Vergangenheit}} nicht ändern.,ˈdiː fɛɐ̯ˈɡɑŋənhɑɪ̯t
die Gegenwart,present,,Wir leben in der {{Gegenwart}}.,ˈdiː ˈɡeːɡənvɑʁt
der Anfang,beginning,,Das ist nur der {{Anfang}} der Geschichte.,ˈdeːɐ̯ ˈʔɑnfɑŋ
das Ende,end,,Das {{Ende}} des Films war sehr emotional.,ˈdɑs ˈʔɛndə
die Mitte,centre / middle,,Das Sofa steht in der {{Mitte}} des Zimmers.,ˈdiː ˈmɪtə
der Norden,north,,Im {{Norden}} Deutschlands ist es kälter.,ˈdeːɐ̯ ˈnɔʁdən
der Süden,south,,Ich fahre in den {{Süden}} für Urlaub.,ˈdeːɐ̯ ˈzyːdən
der Osten,east,,Die Sonne geht im {{Osten}} auf.,ˈdeːɐ̯ ˈʔɔstən
der Westen,west,,Die Sonne geht im {{Westen}} unter.,ˈdeːɐ̯ ˈvɛstən
die Straße,street,,Auf der {{Straße}} fahren viele Autos.,ˈdiː ˈʃtʁɑːsə
der Weg,path / way,,Der {{Weg}} zum Bahnhof ist kurz.,ˈdeːɐ̯ ˈveːk
die Tür,door,,Bitte schließ die {{Tür}} hinter dir.,ˈdiː ˈtyːɐ̯
das Fenster,window,,Das {{Fenster}} ist offen und hell.,ˈdɑs ˈfɛnstɐ
der Boden,floor / ground,,Der {{Boden}} ist sehr schmutzig heute.,ˈdeːɐ̯ ˈboːdən
die Decke,ceiling,,Die {{Decke}} ist weiß gestrichen.,ˈdiː ˈdɛkə
die Wand,wall,,Das Bild hängt an der {{Wand}}.,ˈdiː ˈvɑnt
das Zimmer,room,,Mein {{Zimmer}} ist klein aber gemütlich.,ˈdɑs ˈtsɪmɐ
die Küche,kitchen,,Ich koche gerne in der {{Küche}}.,ˈdiː ˈkʏçə
das Badezimmer,bathroom,,Das {{Badezimmer}} hat eine neue Dusche.,ˈdɑs ˈbaːdəˌtsɪmɐ
der Garten,garden,,Im {{Garten}} wachsen schöne Blumen.,ˈdeːɐ̯ ˈɡɑʁtən
das Gebäude,building,,Das {{Gebäude}} ist sehr alt und imposant.,ˈdɑs ɡəˈbɔɪ̯də
die Wohnung,flat / apartment,,Ich lebe in einer {{Wohnung}} im Zentrum.,ˈdiː ˈvoːnʊŋ
das Hotel,hotel,,Das {{Hotel}} hat vier Sterne.,ˈdɑs hoˈtɛl
das Krankenhaus,hospital,,Mein Großvater ist im {{Krankenhaus}}.,ˈdɑs ˈkʁɑŋkənhɑʊ̯s
die Schule,school,,Die {{Schule}} beginnt um acht Uhr.,ˈdiː ˈʃuːlə
die Universität,university,,Er studiert an der {{Universität}} Mathematik.,ˈdiː ʊnɪvɛʁziˈtɛːt
die Bibliothek,library,,Ich leihe Bücher in der {{Bibliothek}}.,ˈdiː bɪbliɔˈteːk
das Geschäft,shop / business,,Das {{Geschäft}} ist montags geschlossen.,ˈdɑs ɡəˈʃɛft
der Markt,market,,Auf dem {{Markt}} gibt es frisches Obst.,ˈdeːɐ̯ ˈmɑʁkt
die Bank,bank,,Ich gehe zur {{Bank}} um Geld abzuheben.,ˈdiː ˈbɑŋk
die Kirche,church,,Die {{Kirche}} ist sehr alt und schön.,ˈdiː ˈkɪʁçə
der Park,park,,Im {{Park}} spielen viele Kinder.,ˈdeːɐ̯ ˈpɑʁk
der Strand,beach,,Der {{Strand}} ist im Sommer voll.,ˈdeːɐ̯ ˈʃtʁɑnt
der Berg,mountain,,Wir wandern auf den {{Berg}} hinauf.,ˈdeːɐ̯ ˈbɛʁk
der Fluss,river,,Der {{Fluss}} fließt durch die Stadt.,ˈdeːɐ̯ ˈflʊs
der See,lake,,Im {{See}} kann man schwimmen gehen.,ˈdeːɐ̯ ˈzeː
das Meer,sea,,Das {{Meer}} ist sehr schön und groß.,ˈdɑs ˈmeːɐ̯
der Wald,forest,,Wir spazieren durch den {{Wald}}.,ˈdeːɐ̯ ˈvɑlt
der Himmel,sky / heaven,,Der {{Himmel}} ist heute blau und wolkenlos.,deːɐ̯ ˈhɪməl
die Sonne,sun,,Die {{Sonne}} scheint hell am Morgen.,diː ˈzɔnə
der Mond,moon,,Der {{Mond}} leuchtet in der Nacht.,deːɐ̯ moːnt
der Stern,star,,Ein {{Stern}} funkelt am Himmel.,deːɐ̯ ʃtɛʁn
die Wolke,cloud,,Eine {{Wolke}} zieht über uns hinweg.,diː ˈvɔlkə
der Regen,rain,,Der {{Regen}} fällt auf das Dach.,deːɐ̯ ˈʁeːɡən
der Schnee,snow,,Der {{Schnee}} bedeckt die Berge.,deːɐ̯ ˈʃneː
der Wind,wind,,Der {{Wind}} weht durch die Bäume.,deːɐ̯ vɪnt
das Feuer,fire,,Das {{Feuer}} wärmt uns im Winter.,das ˈfɔɪ̯ɐ
die Erde,earth / ground,,Die {{Erde}} dreht sich um die Sonne.,diː ˈʔɛʁdə
der Stein,stone,,Ein {{Stein}} liegt auf dem Weg.,deːɐ̯ ʃtaɪ̯n
der Baum,tree,,Der {{Baum}} hat grüne Blätter.,deːɐ̯ baʊ̯m
die Blume,flower,,Die {{Blume}} riecht sehr schön.,diː ˈbluːmə
die Pflanze,plant,,Die {{Pflanze}} braucht Wasser und Licht.,diː ˈpflanzə
das Gras,grass,,Das {{Gras}} wächst im Garten.,das ɡʁaːs
das Tier,animal,,Das {{Tier}} läuft durch den Wald.,das tiːɐ̯
der Hund,dog,,Der {{Hund}} bellt laut.,deːɐ̯ hʊnt
die Katze,cat,,Die {{Katze}} schläft auf dem Sofa.,diː ˈkatsə
der Vogel,bird,,Der {{Vogel}} singt am Morgen.,deːɐ̯ ˈfoːɡəl
der Fisch,fish,,Der {{Fisch}} schwimmt im Wasser.,deːɐ̯ fɪʃ
das Pferd,horse,,Das {{Pferd}} galoppiert über die Wiese.,das pfeːɐ̯t
die Kuh,cow,,Die {{Kuh}} gibt Milch.,diː kuː
der Körper,body,,Der {{Körper}} braucht Bewegung und Ruhe.,deːɐ̯ ˈkœʁpɐ
der Kopf,head,,Der {{Kopf}} tut mir weh.,deːɐ̯ kɔpf
das Gesicht,face,,Das {{Gesicht}} ist rot von Sonne.,das ɡəˈzɪçt
das Auge,eye,,Das {{Auge}} sieht die Farben.,das ˈʔaʊ̯ɡə
die Nase,nose,,Die {{Nase}} riecht den Duft.,diː ˈnaːzə
der Mund,mouth,,Der {{Mund}} spricht Wörter.,deːɐ̯ mʊnt
das Ohr,ear,,Das {{Ohr}} hört die Musik.,das ʔoːɐ̯
der Zahn,tooth,,Der {{Zahn}} ist weiß und sauber.,deːɐ̯ tsaːn
die Zunge,tongue,,Die {{Zunge}} schmeckt das Essen.,diː ˈtsʊŋə
der Hals,neck / throat,,Der {{Hals}} tut mir beim Schlucken weh.,deːɐ̯ hals
die Schulter,shoulder,,Die {{Schulter}} trägt die Last.,diː ˈʃʊltɐ
der Arm,arm,,Der {{Arm}} ist lang und stark.,deːɐ̯ ʔaʁm
der Ellbogen,elbow,,Der {{Ellbogen}} beugt sich.,deːɐ̯ ˈʔɛlboːɡən
das Handgelenk,wrist,,Das {{Handgelenk}} ist dünn und beweglich.,das ˈhantɡəlɛŋk
der Finger,finger,,Der {{Finger}} zeigt auf den Himmel.,deːɐ̯ ˈfɪŋɐ
das Bein,leg,,Das {{Bein}} ist verletzt.,das baɪ̯n
das Knie,knee,,Das {{Knie}} beugt sich beim Gehen.,das kniː
der Fuß,foot,,Der {{Fuß}} tut mir weh.,deːɐ̯ fʊs
das Herz,heart,,Das {{Herz}} schlägt schnell.,das hɛʁts
die Lunge,lung,,Die {{Lunge}} atmet frische Luft.,diː ˈlʊŋə
der Magen,stomach,,Der {{Magen}} verdaut das Essen.,deːɐ̯ ˈmaːɡən
das Gehirn,brain,,Das {{Gehirn}} denkt und lernt.,das ɡəˈhɪʁn
das Blut,blood,,Das {{Blut}} fließt durch den Körper.,das bluːt
der Knochen,bone,,Der {{Knochen}} ist hart und fest.,deːɐ̯ ˈknɔxən
der Muskel,muscle,,Der {{Muskel}} wird beim Sport stärker.,deːɐ̯ ˈmʊskəl
die Haut,skin,,Die {{Haut}} schützt den Körper.,diː haʊ̯t
das Haar,hair,,Das {{Haar}} ist braun und lang.,das haːɐ̯
die Kleidung,clothes,,Die {{Kleidung}} ist warm und bequem.,diː ˈklaɪ̯dʊŋ
das Hemd,shirt,,Mein {{Hemd}} ist weiß und sehr bequem.,das ˈhɛmt
die Hose,trousers,,Die {{Hose}} passt mir perfekt und sieht gut aus.,diː ˈhoːzə
der Rock,skirt,,Sie trägt einen kurzen {{Rock}} zur Arbeit.,deːɐ̯ ˈʁɔk
das Kleid,dress,,Das rote {{Kleid}} ist sehr elegant und schön.,das ˈklaɪ̯t
die Jacke,jacket,,Ich brauche eine warme {{Jacke}} für den Winter.,diː ˈjakə
der Mantel,coat,,Der {{Mantel}} schützt dich vor dem kalten Wind.,deːɐ̯ ˈmantl̩
der Schuh,shoe,,Mein neuer {{Schuh}} ist sehr komfortabel zum Laufen.,deːɐ̯ ˈʃuː
die Socke,sock,,Die blaue {{Socke}} passt nicht zu dieser anderen.,diː ˈzɔkə
der Hut,hat,,Er trägt einen schwarzen {{Hut}} zur Hochzeit.,deːɐ̯ ˈhuːt
der Schal,scarf,,Der warme {{Schal}} hält deinen Hals sehr warm.,deːɐ̯ ˈʃaːl
der Handschuh,glove,,Ich verliere ständig einen {{Handschuh}} im Winter.,deːɐ̯ ˈhantʃuː
das Brot,bread,,Das frische {{Brot}} schmeckt herrlich vom Bäcker.,das ˈbʁoːt
der Reis,rice,,Der {{Reis}} kocht etwa zwanzig Minuten lang.,deːɐ̯ ˈʁaɪ̯s
die Nudeln,pasta / noodles,,Die {{Nudeln}} sind ein beliebtes Mittagessen hier.,diː ˈnuːdl̩n
das Fleisch,meat,,Das {{Fleisch}} muss im Ofen gare werden.,das ˈflaɪ̯ʃ
das Hähnchen,chicken,,Das {{Hähnchen}} ist lecker mit Gemüse zubereitet.,das ˈhɛːnçən
das Ei,egg,,Zum Frühstück esse ich gerne ein {{Ei}}.,das ˈaɪ̯
die Milch,milk,,Die frische {{Milch}} kommt täglich ins Haus.,diː ˈmɪlç
der Käse,cheese,,Der {{Käse}} schmeckt wunderbar auf dem Brot.,deːɐ̯ ˈkɛːzə
die Butter,butter,,Die {{Butter}} muss aus dem Kühlschrank kommen.,diː ˈbʊtɐ
das Öl,oil,,Das {{Öl}} ist gut zum Kochen geeignet.,das ˈœl
das Salz,salt,,Ein bisschen {{Salz}} macht das Essen besser.,das ˈzalts
der Zucker,sugar,,Der {{Zucker}} macht den Kaffee süßer schmecken.,deːɐ̯ ˈtsʊkɐ
der Kaffee,coffee,,Der heiße {{Kaffee}} weckt mich morgens auf.,deːɐ̯ ˈkaffeː
der Tee,tea,,Eine Tasse {{Tee}} entspannt mich nach der Arbeit.,deːɐ̯ ˈteː
der Wein,wine,,Der rote {{Wein}} passt gut zum Essen.,deːɐ̯ ˈvaɪ̯n
das Bier,beer,,Das kalte {{Bier}} schmeckt besonders im Sommer.,das ˈbiːɐ̯
der Saft,juice,,Der frische {{Saft}} ist sehr gesund für Kinder.,deːɐ̯ ˈzaft
das Obst,fruit,,Das {{Obst}} sollte jeden Tag gegessen werden.,das ˈɔpst
der Apfel,apple,,Der rote {{Apfel}} liegt auf dem Tisch.,deːɐ̯ ˈapfl̩
die Orange,orange,,Die {{Orange}} enthält viel Vitamin C darin.,diː oʁˈɑ̃ʒə
