word,meaning,native,sentence
书桌,desk,shūzhuō,我在{{书桌}}上读书。
窗户,window,chuānghu,{{窗户}}外阳光很好。
门,door,mén,请关上{{门}}。
地板,floor,dìbǎn,我在{{地板}}上铺了地毯。
墙,wall,qiáng,这面{{墙}}需要重新粉刷。
天花板,ceiling,tiānhuābǎn,{{天花板}}上有一盏灯。
灯,lamp / light,dēng,请打开{{灯}}，太暗了。
镜子,mirror,jìngzi,她在{{镜子}}前整理头发。
冰箱,fridge,bīngxiāng,{{冰箱}}里有新鲜的水果。
洗衣机,washing machine,xǐyījī,{{洗衣机}}今天坏了需要修。
电视,television,diànshì,我们在看{{电视}}上的新闻。
电脑,computer,diànnǎo,我的{{电脑}}需要升级系统。
手机,mobile phone,shǒujī,我的{{手机}}电池快没了。
钥匙,key,yàoshi,你看到我的{{钥匙}}了吗？
包,bag,bāo,这个{{包}}很适合旅行。
书包,school bag / backpack,shūbāo,孩子的{{书包}}里装满了书。
钱包,wallet,qiánbāo,我的{{钱包}}丢在公交车上。
雨伞,umbrella,yǔsǎn,下雨了，别忘了带{{雨伞}}。
眼镜,glasses,yǎnjìng,我的{{眼镜}}度数又加深了。
手表,watch,shǒubiǎo,这块{{手表}}是爸爸送的。
纸,paper,zhǐ,请给我一张{{纸}}写字。
笔,pen,bǐ,我找不到我的红色{{笔}}。
书,book,shū,这本{{书}}很有意思，推荐。
# ── Nouns — Transport & Travel ───────────────────────────────────────────────
交通,transport,jiāotōng,这里的{{交通}}很便利。
汽车,car,qìchē,停车场里有很多{{汽车}}。
公车,bus,gōngchē,我每天坐{{公车}}上班。
火车,train,huǒchē,{{火车}}下午三点出发。
飞机,airplane,fēijī,{{飞机}}在云层中飞行。
船,ship / boat,chuán,我们坐{{船}}去看风景。
自行车,bicycle,zìxíngchē,我用{{自行车}}锻炼身体。
摩托车,motorcycle,mótuōchē,他骑着{{摩托车}}很快。
地铁,subway / metro,dìtiě,坐{{地铁}}比开车更快。
出租车,taxi,chūzūchē,{{出租车}}司机很热情。
车票,ticket,chēpiào,请检查你的{{车票}}。
护照,passport,hùzhào,出国需要带{{护照}}。
行李,luggage / suitcase,xínglǐ,{{行李}}已经收拾好了。
地图,map,dìtú,{{地图}}上标注了景点。
路,road / path,lù,这条{{路}}连接两个城市。
街道,street,jiēdào,{{街道}}上人来人往。
桥,bridge,qiáo,我们在{{桥}}上散步。
# ── Nouns — Health & Medicine ────────────────────────────────────────────────
健康,health,jiànkāng,运动对{{健康}}很重要。
疾病,illness,jíbìng,{{疾病}}需要及时治疗。
药物,medicine,yàowù,医生给我开了{{药物}}。
手术,surgery / operation,shǒushù,他需要进行{{手术}}。
注射,injection / shot,zhùshè,护士给我进行了{{注射}}。
疫苗,vaccine,yìmiáo,今天去打{{疫苗}}。
诊断,diagnosis,zhěnduàn,医生做了仔细的{{诊断}}。
症状,symptom,zhèngzhuàng,他的{{症状}}逐渐改善。
发烧,fever,fāshāo,孩子{{发烧}}了需要吃药。
咳嗽,cough,késòu,他的{{咳嗽}}越来越严重。
头痛,headache,tóutòng,我有点{{头痛}}，休息下。
感冒,cold (illness),gǎnmào,最近流行的{{感冒}}很厉害。
过敏,allergy,guòmǐn,我对花粉{{过敏}}。
# ── Nouns — Education ────────────────────────────────────────────────────────
教育,education,jiàoyù,好的{{教育}}能改变一个人的人生。
知识,knowledge,zhīshi,{{知识}}就是力量，要不断学习。
科学,science,kēxué,{{科学}}研究需要严谨的态度。
数学,mathematics,shùxué,我最喜欢上{{数学}}课了。
语文,Chinese language,yǔwén,{{语文}}老师布置了很多作业。
历史,history,lìshǐ,我们在学习中国{{历史}}。
地理,geography,dìlǐ,{{地理}}课上我们学了各个国家。
音乐,music,yīnyuè,她喜欢在下午听{{音乐}}放松。
体育,physical education,tǐyù,今天的{{体育}}课非常有趣。
艺术,art,yìshù,{{艺术}}展览吸引了很多游客。
考试,exam,kǎoshì,下周我们有一场重要{{考试}}。
作业,homework,zuòyè,老师给我们留了很多{{作业}}。
课堂,classroom,kètáng,在{{课堂}}上要认真听讲。
校长,principal / headmaster,xiàozhǎng,{{校长}}在开学典礼上讲话。
# ── Nouns — Work & Economy ───────────────────────────────────────────────────
公司,company,gōngsī,我在一家大{{公司}}工作。
老板,boss,lǎobǎn,{{老板}}对员工很严格。
员工,employee,yuángōng,这家公司有一百名{{员工}}。
薪水,salary,xīnshuǐ,我每个月的{{薪水}}不错。
钱,money,qián,我没有足够的{{钱}}买房。
价格,price,jiàgé,这件衣服的{{价格}}太贵了。
折扣,discount,zhékòu,今天商店有很大的{{折扣}}。
税,tax,shuì,我们要按时缴纳所得{{税}}。
贸易,trade,màoyì,两国之间有频繁的{{贸易}}。
竞争,competition,jìngzhēng,市场上的{{竞争}}越来越激烈。
投资,investment,tóuzī,他决定{{投资}}一个新项目。
利润,profit,lìrùn,公司今年的{{利润}}很高。
损失,loss,sǔnshī,这次事故造成了巨大{{损失}}。
预算,budget,yùsuàn,公司的{{预算}}需要仔细规划。
合同,contract,hétong,双方签署了一份{{合同}}。
# ── Nouns — Technology ───────────────────────────────────────────────────────
技术,technology / technique,jìshù,现代{{技术}}发展很快。
网络,network / internet,wǎngluò,我每天都在使用{{网络}}。
软件,software,ruǎnjiàn,这个{{软件}}很容易使用。
应用,application / app,yìngyòng,这个{{应用}}在手机上很流行。
数据,data,shùjù,我们需要分析这些{{数据}}。
信息,information,xìnxī,请告诉我你的联系{{信息}}。
密码,password,mìmǎ,不要告诉别人你的{{密码}}。
屏幕,screen,píngmù,{{屏幕}}上显示了新闻。
键盘,keyboard,jiànpán,这个{{键盘}}很舒适好用。
鼠标,mouse (computer),shǔbiāo,我的{{鼠标}}坏了要修理。
打印机,printer,dǎyìnjī,{{打印机}}在办公室里。
平板电脑,tablet,píng bǎn diànnǎo,我买了一个新{{平板电脑}}。
充电器,charger,chōngdiànqì,{{充电器}}在哪里呢？
电池,battery,diànchí,这个玩具需要两节{{电池}}。
相机,camera,xiàngjī,我用{{相机}}拍了很多照片。
# ── Nouns — Arts & Culture ───────────────────────────────────────────────────
文化,culture,wénhuà,中国{{文化}}源远流长。
语言,language,yǔyán,学习一门新{{语言}}很困难。
文学,literature,wénxué,我喜欢阅读中国{{文学}}作品。
诗歌,poetry,shīgē,这首{{诗歌}}很优美动人。
小说,novel,xiǎoshuō,我最近在看一部有趣{{小说}}。
故事,story,gùshi,奶奶给我讲了一个{{故事}}。
电影,film / movie,diànyǐng,我昨天看了一部很好看的{{电影}}。
歌曲,song,gēqǔ,这首{{歌曲}}非常动听。
舞蹈,dance,wǔdǎo,她的{{舞蹈}}技艺很高超。
绘画,painting,huìhuà,他喜欢在周末练习{{绘画}}。
雕塑,sculpture,diāosù,博物馆里有许多古代{{雕塑}}。
建筑,architecture,jiànzhú,这座{{建筑}}设计得很独特。
博物馆,museum,bówùguǎn,我们去{{博物馆}}参观了历史展览。
剧场,theatre,jùchǎng,今晚在{{剧场}}有一场演出。
节日,festival / holiday,jiérì,春节是中国最重要的{{节日}}。
传统,tradition,chuántǒng,尊重{{传统}}文化很重要。
习俗,custom / habit,xísú,每个国家都有不同的{{习俗}}。
# ── Nouns — Emotions & Mind ──────────────────────────────────────────────────
心,heart / mind,xīn,他用{{心}}去对待每件事。
感情,feelings / emotion,gǎnqíng,他们之间的{{感情}}很深厚。
快乐,happiness / joy,kuàilè,孩子们玩得很{{快乐}}。
悲伤,sadness,bēishāng,听到这个消息他感到{{悲伤}}。
愤怒,anger,fènnù,他因为被欺骗而{{愤怒}}。
恐惧,fear,kǒngjù,黑暗中他感到{{恐惧}}。
惊讶,surprise,jīngyà,我对这个结果感到{{惊讶}}。
希望,hope,xīwàng,我{{希望}}能早日实现梦想。
梦想,dream,mèngxiǎng,成为医生是我的{{梦想}}。
信心,confidence,xìnxīn,他对自己充满了{{信心}}。
勇气,courage,yǒngqì,需要很大的{{勇气}}去冒险。
耐心,patience,nàixīn,教学需要很多的{{耐心}}。
# ── Nouns — Society & Politics ───────────────────────────────────────────────
社会,society,shèhuì,{{社会}}需要更多的关爱。
政府,government,zhèngfǔ,{{政府}}制定了新的政策。
政治,politics,zhèngzhì,我对{{政治}}话题不太感兴趣。
民主,democracy,mínzhǔ,{{民主}}制度很重要。
法律,law,fǎlǜ,我们应该遵守{{法律}}。
