word,meaning,native,sentence,ipa,notes
erabu,to choose,選ぶ,メニューから好きな料理を{{選ぶ}}ことができます。,LH erabu,
narau,to learn / to take lessons,習う,私は毎週ピアノを{{習う}}。,LH narau,
oshieru,to teach / to tell,教える,先生が私たちに新しい文法を{{教える}}。,LLL oshieru,
tasukeru,to help / to rescue,助ける,困っている人を{{助ける}}ことは大切です。,LLH tasukeru,
tetsudau,to help / to assist,手伝う,母が料理の準備を{{手伝う}}。,LLL tetsudau,
naosu,to fix / to correct,直す,壊れた時計を修理屋に{{直す}}。,LH naosu,
kesu,to erase / to turn off,消す,寝る前にライトを{{消す}}。,H kesu,
tsukeru,to attach / to turn on,つける,朝エアコンを{{つける}}。,LLH tsukeru,
hiraku,to open,開く,朝窓を{{開く}}と新鮮な空気が入ります。,LH hiraku,
shimeru,to close,閉める,出かける前にドアを{{閉める}}。,LLH shimeru,
dasu,to take out / to send,出す,ゴミを毎週火曜日に{{出す}}。,H dasu,
ireru,to put in,入れる,コーヒーカップにお湯を{{入れる}}。,LLH ireru,
suteru,to throw away,捨てる,使わない物を{{捨てる}}ことにしました。,LLH suteru,
katazukeru,to tidy up,片付ける,部屋を{{片付ける}}のに時間がかかります。,LLLL katazukeru,
arau,to wash,洗う,食事の後に食器を{{洗う}}。,LH arau,
soji suru,to clean,掃除する,毎週土曜日に家全体を{{掃除する}}。,LH soji suru,
ryori suru,to cook,料理する,夜食事の{{料理する}}のは楽しいです。,LH ryori suru,
benkyou suru,to study,勉強する,図書館で毎日{{勉強する}}。,LLL benkyou suru,
shigoto suru,to work,仕事する,彼は毎日朝から晩まで{{仕事する}}。,LLL shigoto suru,
undou suru,to exercise,運動する,健康のために毎朝{{運動する}}。,LLL undou suru,
ryokou suru,to travel,旅行する,来月家族と日本に{{旅行する}}予定です。,LLL ryokou suru,
sanpo suru,to take a walk,散歩する,天気が良い日は公園を{{散歩する}}。,LH sanpo suru,
denwa suru,to make a phone call,電話する,明日彼に{{電話する}}つもりです。,LH denwa suru,
yobi suru,to invite,予備する,誕生日パーティーに友達を{{予備する}}。,LH yobi suru,
keikaku suru,to plan,計画する,来年の{{計画する}}を今から立てています。,LLL keikaku suru,
junbi suru,to prepare,準備する,試験のために{{準備する}}が必要です。,LH junbi suru,
setsumei suru,to explain,説明する,先生が難しい理論を{{説明する}}。,LLLL setsumei suru,
soudan suru,to consult,相談する,進路について親に{{相談する}}しました。,LLL soudan suru,
renshuu suru,to practice,練習する,上達するために毎日{{練習する}}。,LLL renshuu suru,
kakunin suru,to confirm,確認する,出発前に荷物を{{確認する}}。,LLL kakunin suru,
chuumon suru,to order,注文する,レストランで料理を{{注文する}}。,LLL chuumon suru,
yoyaku suru,to reserve,予約する,旅行前にホテルを{{予約する}}。,LLL yoyaku suru,
# ── Nouns ────────────────────────────────────────────────────────────────────
jikan,time,時間,この{{時間}}に何をしていましたか。,LH jikan,
nen,year,年,去年は二千二十{{年}}でした。,H nen,
jinsei,life,人生,{{人生}}は予想できないものです。,LH jinsei,
otoko,man,男,その{{男}}は背が高いです。,LH otoko,
onna,woman,女,彼女は優しい{{女}}です。,H onna,
hi,day,日,明日は金曜{{日}}ですね。,H hi,
mono,thing,もの,机の上にいろいろな{{もの}}があります。,LH mono,
bubun,part,部分,この{{部分}}が一番大事です。,LH bubun,
basho,place,場所,公園は遊ぶのに良い{{場所}}です。,LH basho,
toki,time / moment,時,忙しい{{時]]に手伝ってくれました。,LH toki,
houhou,way / method,方法,この{{方法}}は最も効率的で安全です。,HLL houhou,
hito,person,人,その{{人}}は毎日ここで働いています。,LH hito,
te,hand,手,{{手}}を上げて質問してください。,L te,
sekai,world,世界,{{世界}}中の人々が平和を望んでいます。,LLH sekai,
kai,time (occurrence),回,私は{{回}}数えて確認しました。,L kai,
baai,case / situation,場合,{{場合}}によっては異なる答えになります。,LLH baai,
shigoto,work / job,仕事,彼の{{仕事}}は毎日忙しいです。,LLLH shigoto,
mondai,problem,問題,この{{問題}}を解く方法を知っていますか。,LLH mondai,
kuni,country,国,日本は東アジアの{{国}}です。,LH kuni,
machi,town / city,町,この{{町}}は山の近くにあります。,LH machi,
ie,house / home,家,私の{{家}}は川のそばにあります。,L ie,
mizu,water,水,毎日新鮮な{{水}}を飲みます。,LH mizu,
guruupu,group,グループ,私たちの{{グループ}}は五人です。,LLLH guruupu,
kaisha,company,会社,彼は大きな{{会社}}で働いています。,LLH kaisha,
namae,name,名前,あなたの{{名前}}は何ですか。,LLH namae,
kazu,number,数,この{{数}}は十より大きいです。,LH kazu,
katachi,shape / form,形,円の{{形]]は非常に美しいです。,LLLH katachi,
shisutemu,system,システム,新しい{{システム}}は来週から始まります。,LLLLH shisutemu,
rei,example,例,{{例]]えば、りんごは赤い果物です。,L rei,
ten,point,点,テストで九十{{点]]を取りました。,L ten,
seifu,government,政府,{{政府]]は新しい法律を作りました。,LLH seifu,
jouhou,information,情報,正確な{{情報]]をください。,HLL jouhou,
rekishi,history,歴史,日本の{{歴史]]は非常に興味深いです。,LLLH rekishi,
kazoku,family,家族,私の{{家族]]は五人です。,LLLH kazoku,
shakai,society,社会,現代{{社会]]は複雑です。,LLH shakai,
reberu,level,レベル,この{{レベル]]は初級です。,LLLH reberu,
shurui,type / kind,種類,様々な{{種類]]の野菜があります。,LLLH shurui,
kankei,relationship,関係,その{{関係]]は非常に重要です。,LLH kankei,
katei,process,過程,学習の{{過程]]は時間がかかります。,LLH katei,
saabisu,service,サービス,このお店の{{サービス]]は良いです。,LLLLH saabisu,
seiji,politics,政治,{{政治]]についてもっと学びたいです。,LLH seiji,
henka,change,変化,季節の{{変化]]は自然です。,LLH henka,
kekka,result,結果,その{{結果]]は予想と異なります。,LLH kekka,
okane,money,お金,{{お金]]は生活に必要です。,LLLH okane,
tsuki,month,月,この{{月]]は特に寒いです。,LH tsuki,
shuu,week,週,毎{{週]]月曜日にレッスンがあります。,L shuu,
yoru,night,夜,{{夜]]は星がきれいに見えます。,LH yoru,
asa,morning,朝,毎{{朝]]六時に起きます。,L asa,
gogo,afternoon,午後,{{午後]]に友達と遊びます。,LLH gogo,
yuu,evening,夕,{{夕]]方に散歩をします。,L yuu,
fun,minute,分,五{{分]]待ってください。,L fun,
byou,second,秒,三十{{秒]]でその問題を解きました。,L byou,
seiki,century,世紀,二十一{{世紀]]は現代です。,LLLH seiki,
mirai,future,未来,{{未来]]は明るいと思います。,LLLH mirai,
kako,past,過去,{{過去]]から多くを学びました。,LLH kako,
genzai,present,現在,{{現在]]私は学生です。,LLLH genzai,
hajimari,beginning,始まり,物語の{{始まり]]は非常に面白いです。,LLLLH hajimari,
owari,end,終わり,映画の{{終わり]]は感動的でした。,LLLH owari,
chuushin,centre,中心,都市の{{中心]]に大きな公園があります。,LLLH chuushin,
kita,north,北,{{北]]の方は山が多いです。,LH kita,
minami,south,南,公園は駅の{{南}}にあります。,HLL minami,
higashi,east,東,太陽は毎朝{{東}}から昇ります。,HLL higashi,
nishi,west,西,夕日は{{西}}の空に沈みます。,HH nishi,
michi,road / path,道,学校へ行く{{道}}は長いです。,HH michi,
tobira,door,扉,部屋の{{扉}}を開けてください。,HLL tobira,
mado,window,窓,{{窓}}から海が見えます。,HH mado,
yuka,floor,床,{{床}}に荷物を置いてはいけません。,HH yuka,
tenjou,ceiling,天井,{{天井}}のライトが壊れています。,HLL tenjou,
kabe,wall,壁,{{壁}}に絵を掛けました。,HH kabe,
heya,room,部屋,{{部屋}}は広くて明るいです。,HH heya,
daidokoro,kitchen,台所,{{台所}}で母が料理しています。,LHLL daidokoro,
ofuro,bath / bathroom,お風呂,{{お風呂}}に入りたいです。,LHL ofuro,
niwa,garden,庭,{{庭}}に花がたくさん咲いています。,HH niwa,
tatemono,building,建物,この{{建物}}は百年前に作られました。,LHLL tatemono,
apato,apartment,アパート,私は{{アパート}}の三階に住んでいます。,LHL apato,
hoteru,hotel,ホテル,{{ホテル}}の部屋はとても快適でした。,LHL hoteru,
byouin,hospital,病院,妹は{{病院}}で医者に診てもらいました。,HLL byouin,
gakkou,school,学校,毎日{{学校}}に歩いて行きます。,HLL gakkou,
daigaku,university,大学,兄は{{大学}}で物理を勉強しています。,HLL daigaku,
toshokan,library,図書館,{{図書館}}で本を三冊借りました。,LHLL toshokan,
mise,shop / store,店,近くの{{店}}でパンを買いました。,HH mise,
ichiba,market,市場,日曜日に{{市場}}へ野菜を買いに行きます。,HLL ichiba,
ginkou,bank,銀行,{{銀行}}でお金を引き出しました。,HLL ginkou,
otera,temple,お寺,京都の{{お寺}}は本当に美しいです。,LHL otera,
kouen,park,公園,{{公園}}で子供たちが遊んでいます。,HLL kouen,
kaigan,beach,海岸,夏は{{海岸}}で泳ぐのが好きです。,HLL kaigan,
yama,mountain,山,{{山}}の頂上から景色が見えます。,HH yama,
kawa,river,川,{{川}}で魚がたくさん泳いでいます。,HH kawa,
mizuumi,lake,湖,{{湖}}の水はとても冷たいです。,LHLL mizuumi,
umi,sea,海,{{海}}に行ってサーフィンをしたいです。,HH umi,
mori,forest,森,{{森}}の中を散歩するのは気持ちいいです。,HH mori,
nohara,field,野原,{{野原}}に咲く花は素晴らしい。,HLL nohara,
sora,sky,空,{{空}}が青くて気持ちがいいです。,HH sora,
taiyou,sun,太陽,{{太陽}}が照っていて暑いです。,HLL taiyou,
hoshi,star,星,夜空に{{星}}がたくさん輝いています。,HH hoshi,
kumo,cloud,雲,{{雲}}が空を覆っています。,HH kumo,
ame,rain,雨,今日は{{雨}}が降るでしょう。,HH ame,
yuki,snow,雪,冬に{{雪}}が積もりました。,HH yuki,
kaze,wind,風,{{風}}が強く吹いています。,HH kaze,
tsuchi,earth / soil,土,{{土}}を耕して野菜を植えました。,HH tsuchi,
ishi,stone,石,{{石}}を積み重ねて塀を作りました。,HH ishi,
ki,tree,木,このテーブルは{{木}}で作られています。,H ki,
hana,flower,花,春に{{花}}がいろいろ咲きます。,HH hana,
shokubutsu,plant,植物,この{{植物}}は毎日水をやります。,LHLL shokubutsu,
kusa,grass,草,{{草}}を刈る必要があります。,HH kusa,
doubutsu,animal,動物,{{動物}}園で色々な動物を見ました。,LHLL doubutsu,
inu,dog,犬,私の家の{{犬}}はとても賢いです。,HH inu,
neko,cat,猫,{{猫}}は日中ずっと寝ています。,HH neko,
tori,bird,鳥,朝の{{鳥}}の鳴き声で起きました。,HH tori,
sakana,fish,魚,{{魚}}は水がきれいな川に住みます。,HLL sakana,
uma,horse,馬,牧場に{{馬}}がたくさんいます。,HH uma,
ushi,cow,牛,農家の{{牛}}は毎日働きます。,HH ushi,
karada,body,体,健康な{{体}}を保つことは大切です。,HLL karada,
atama,head,頭,彼の{{頭}}はとても良いです。,HLL atama,
kao,face,顔,彼女の{{顔}}はとても美しいです。,HH kao,
me,eye,目,猫の{{目}}は暗い所で光ります。,H me,
kuchi,mouth,口,{{口}}を大きく開けて歌います。,HH kuchi,
mimi,ear,耳,犬の{{耳}}は長くて柔らかいです。,HH mimi,
ha,tooth,歯,毎日{{歯}}を磨くことが大切です。,H ha,
shita,tongue,舌,{{舌}}で食べ物の味を感じます。,HH shita,
kubi,neck,首,彼の{{首}}にはネックレスがあります。,HH kubi,
kata,shoulder,肩,重い荷物で{{肩}}が痛いです。,HH kata,
ude,arm,腕,彼は{{腕}}の力が強いです。,HH ude,
hiji,elbow,肘,{{肘}}をテーブルに置いてはいけません。,HH hiji,
tekubi,wrist,手首,{{手首}}の時計がとても高いです。,LHH tekubi,
yubi,finger,指,{{指}}で画面をタッチします。,HH yubi,
ashi,leg / foot,足,毎日{{足}}で走って運動します。,HH ashi,
hiza,knee,膝,{{膝}}を曲げてしゃがみます。,HH hiza,
shinzou,heart,心臓,{{心臓}}は体の中で重要な器官です。,LHH shinzou,
hai,lung,肺,{{肺}}で空気を吸い込みます。,HH hai,
i,stomach,胃,{{胃}}が痛いので病院に行きました。,H i,
nou,brain,脳,人間の{{脳}}は非常に複雑です。,HH nou,
chi,blood,血,{{血}}が体中を流れています。,H chi,
hone,bone,骨,{{骨}}は体を支える役割があります。,HH hone,
kinniku,muscle,筋肉,運動することで{{筋肉}}が強くなります。,LHH kinniku,
hada,skin,肌,良い{{肌}}を保つため毎日ケアします。,HH hada,
kami,hair,髪,彼女の{{髪}}はロングでとても綺麗です。,HH kami,
fuku,clothes,服,今日着る{{服}}を選んでいます。,HH fuku,
shatsu,shirt,シャツ,白い{{シャツ}}が欲しいです。,HH shatsu,
zubon,trousers,ズボン,新しい{{ズボン}}を買いました。,LHH zubon,
sukato,skirt,スカート,赤い{{スカート}}はとても可愛いです。,LHH sukato,
doresu,dress,ドレス,結婚式に{{ドレス}}を着ます。,LHH doresu,
jaketto,jacket,ジャケット,冬に{{ジャケット}}を着て出かけます。,LHH jaketto,
kooto,coat,コート,暖かい{{コート}}を着ています。,LHH kooto,
kutsu,shoes,靴,新しい{{靴}}を履いて歩きます。,HH kutsu,
kutsushita,socks,靴下,{{靴下}}が片方なくなりました。,LHHH kutsushita,
boushi,hat,帽子,日差しから{{帽子}}をかぶります。,HH boushi,
maafuraa,scarf,マフラー,冬に{{マフラー}}を巻いて出かけます。,LHHH maafuraa,
tebukuro,gloves,手袋,寒い日は{{手袋}}をはめます。,LHHH tebukuro,
pan,bread,パン,毎朝{{パン}}を食べます。,HH pan,
gohan,cooked rice / meal,ご飯,{{ご飯}}をいただきます。,LHH gohan,
pasuta,pasta,パスタ,イタリアンレストランで{{パスタ}}を食べました。,LHH pasuta,
niku,meat,肉,夜ご飯に{{肉}}を焼きます。,HH niku,
toriniku,chicken,鶏肉,{{鶏肉}}はヘルシーな食べ物です。,LHHH toriniku,
tamago,egg,卵,朝食に{{卵}}を焼いて食べます。,HLL tamago,
gyuunyuu,milk,牛乳,毎朝{{牛乳}}を飲みます。,LHH gyuunyuu,
chiiizu,cheese,チーズ,{{チーズ}}をパンにのせて食べます。,LHH chiiizu,
bataa,butter,バター,{{バター}}をパンに塗ります。,LHH bataa,
abura,oil,油,料理に{{油}}を使って炒めます。,HLL abura,
shio,salt,塩,食べ物に{{塩}}をかけて食べます。,HH shio,
satou,sugar,砂糖,コーヒーに{{砂糖}}を入れます。,LH satou,
koohii,coffee,コーヒー,毎朝{{コーヒー}}を飲みます。,LHH koohii,
ocha,tea,お茶,{{お茶}}は日本の文化です。,LH ocha,
wain,wine,ワイン,夜{{ワイン}}を一杯飲みました。,LH wain,
biiru,beer,ビール,夏{{ビール}}がとても美味しいです。,LHH biiru,
juusu,juice,ジュース,子供はオレンジ{{ジュース}}が好きです。,LHH juusu,
kudamono,fruit,果物,毎日{{果物}}を食べています。,LHLL kudamono,
ringo,apple,りんご,{{りんご}}は赤くて甘いです。,LH ringo,
orenji,orange,オレンジ,{{オレンジ}}はビタミンCが多いです。,LHH orenji,
budou,grapes,ぶどう,{{ぶどう}}をたくさん買いました。,LH budou,
banana,banana,バナナ,朝食で{{バナナ}}を食べます。,LHL banana,
ichigo,strawberry,いちご,{{いちご}}ケーキは美味しいです。,LHL ichigo,
remon,lemon,レモン,紅茶に{{レモン}}を絞りました。,LH remon,
tomato,tomato,トマト,サラダに{{トマト}}を入れました。,LHL tomato,
retasu,lettuce,レタス,{{レタス}}は新鮮で緑です。,LHL retasu,
ninjin,carrot,にんじん,{{にんじん}}はオレンジ色ですね。,LHL ninjin,
tamanegi,onion,たまねぎ,{{たまねぎ}}は辛い野菜です。,LHLL tamanegi,
ninniku,garlic,にんにく,{{にんにく}}の香りは強いです。,LHL ninniku,
jagaimo,potato,じゃがいも,{{じゃがいも}}でポテトを作ります。,LHLL jagaimo,
hon,book,本,図書館で{{本}}を借りました。,H hon,
peeji,page,ページ,この{{ページ}}は読みにくいです。,LH peeji,
tegami,letter,手紙,友達に{{手紙}}を送りました。,LHL tegami,
shinbun,newspaper,新聞,毎日{{新聞}}を読みます。,LHL shinbun,
zasshi,magazine,雑誌,{{雑誌}}に興味深い記事があります。,LHL zasshi,
nyuusu,news,ニュース,{{ニュース}}を見ました。,LHH nyuusu,
shitsumon,question,質問,先生に{{質問}}があります。,LHLL shitsumon,
kotae,answer,答え,その{{答え}}は正しいです。,LH kotae,
kangae,idea,考え,いい{{考え}}をありがとう。,LHL kangae,
iken,opinion,意見,彼の{{意見}}に賛成します。,LH iken,
kotoba,word,言葉,この{{言葉}}の意味は何ですか。,LHL kotoba,
bun,sentence,文,これは長い{{文}}です。,H bun,
gengo,language,言語,{{言語}}を勉強するのは楽しいです。,LHL gengo,
bunka,culture,文化,日本の{{文化}}は素晴らしいです。,LHL bunka,
geijutsu,art,芸術,{{芸術}}は人生を豊かにします。,LHLL geijutsu,
ongaku,music,音楽,{{音楽}}を聞くのが好きです。,LHL ongaku,
uta,song,歌,新しい{{歌}}を歌っています。,LH uta,
eiga,film / movie,映画,昨日{{映画}}を見ました。,LH eiga,
gekijou,theatre,劇場,{{劇場}}でオペラを観ました。,LHLL gekijou,
supootsu,sport,スポーツ,{{スポーツ}}は健康に良いです。,LHLL supootsu,
sakkaa,football / soccer,サッカー,子供は{{サッカー}}をしています。,LHL sakkaa,
tenisu,tennis,テニス,{{テニス}}のコートは綺麗です。,LHL tenisu,
suiei,swimming,水泳,{{水泳}}は運動です。,LHL suiei,
resu,race,レース,{{レース}}に出場しました。,LH resu,
chiimu,team,チーム,私たちの{{チーム}}が勝ちました。,LHH chiimu,
geemu,game,ゲーム,{{ゲーム}}をしましょう。,LHH geemu,
shouri,victory,勝利,最後の{{勝利}}は素晴らしかったです。,LHL shouri,
haiboku,defeat,敗北,{{敗北}}から学ぶことが多いです。,LHLL haiboku,
shouhin,prize,賞品,優勝者は{{賞品}}をもらいました。,LHLL shouhin,
ryokou,journey / trip,旅行,来月{{旅行}}に行きます。,LHL ryokou,
yasumi,holiday / rest,休み,週末{{休み}}です。,LHL yasumi,
koutsuu,transport,交通,毎日{{交通}}機関を使って通勤しています。,HHL koutsuu,
kuruma,car,車,新しい{{車}}を買いました。,HLL kuruma,
basu,bus,バス,朝{{バス}}で学校に行きます。,HLL basu,
densha,train,電車,{{電車}}は時間に正確です。,HLL densha,
hikouki,airplane,飛行機,{{飛行機}}で日本に来ました。,HHLL hikouki,
fune,ship,船,大きい{{船}}が港にいます。,HL fune,
jitensha,bicycle,自転車,毎日{{自転車}}で公園へ行きます。,HHLL jitensha,
otobai,motorcycle,オートバイ,兄は{{オートバイ}}で仕事に行きます。,HHLL otobai,
kippu,ticket,切符,{{切符}}を買ってから乗ります。,HLL kippu,
pasupooto,passport,パスポート,旅行に{{パスポート}}が必要です。,HHLLL pasupooto,
suutsu,suitcase,スーツケース,{{スーツケース}}に荷物を入れました。,HLL suutsu,
chizu,map,地図,{{地図}}を見ながら歩きます。,HLL chizu,
gijutsu,technology,技術,新しい{{技術}}が開発されました。,HHLL gijutsu,
pasokon,computer,パソコン,毎日{{パソコン}}で仕事をします。,HHLL pasokon,
denwa,phone,電話,{{電話}}で友達に連絡しました。,HLL denwa,
intaanetto,internet,インターネット,{{インターネット}}で情報を探します。,HHLLL intaanetto,
gamen,screen,画面,{{画面}}に映像が表示されます。,HLL gamen,
kiibodo,keyboard,キーボード,{{キーボード}}でメールを入力します。,HHLL kiibodo,
kamera,camera,カメラ,{{カメラ}}で写真を撮りました。,HLL kamera,
terebi,television,テレビ,毎晩{{テレビ}}を見ています。,HLL terebi,
rajio,radio,ラジオ,朝{{ラジオ}}を聞きます。,HLL rajio,
akari,light,明かり,夜{{明かり}}をつけます。,HHLL akari,
oto,sound,音,大きい{{音}}がします。,HL oto,
iro,colour,色,好きな{{色}}は何ですか。,HL iro,
ao,blue,青,空は{{青}}いです。,L ao,
midori,green,緑,草は{{緑}}色です。,HLL midori,
kiiro,yellow,黄色,バナナは{{黄色}}です。,HLL kiiro,
kuro,black,黒,{{黒}}いペンを使っています。,HL kuro,
shiro,white,白,雪は{{白}}いです。,HL shiro,
haiiro,grey,灰色,{{灰色}}の服を着ています。,HHLL haiiro,
itami,pain,痛み,頭の{{痛み}}があります。,HLL itami,
byouki,illness,病気,{{病気}}になったので休みました。,HHLL byouki,
kusuri,medicine,薬,{{薬}}を飲んでください。,HLL kusuri,
isha,doctor,医者,{{医者}}に診てもらいました。,HL isha,
kangoshi,nurse,看護師,{{看護師}}が親切です。,HHLL kangoshi,
kenkou,health,健康,{{健康}}が一番大事です。,HHL kenkou,
kokoro,mind / heart,心,{{心}}が痛いです。,HLL kokoro,
kimochi,feeling / emotion,気持ち,良い{{気持ち}}になりました。,HHLL kimochi,
kyoufu,fear,恐怖,{{恐怖}}を感じています。,HHL kyoufu,
yorokobi,joy,喜び,{{喜び}}を感じました。,HHLLL yorokobi,
kanashimi,sadness,悲しみ,深い{{悲しみ}}があります。,HHLLL kanashimi,
ai,love,愛,親の{{愛}}は大切です。,L ai,
nikushimi,hate,憎しみ,{{憎しみ}}は良くないです。,HHLLL nikushimi,
kibou,hope,希望,未来に{{希望}}を持っています。,HHL kibou,
shinjitsu,truth,真実,{{真実}}を話してください。,HHLL shinjitsu,
uso,lie,嘘,{{嘘}}をついてはいけません。,HL uso,
seigi,justice,正義,{{正義}}のために戦います。,HHLL seigi,
houritsu,law,法律,{{法律}}を守るべきです。,HHLL houritsu,
keisatsu,police,警察,{{警察}}に連絡しました。,HHLL keisatsu,
sensou,war,戦争,{{戦争}}は終わりました。,HHL sensou,
heiwa,peace,平和,世界に{{平和}}がくることを願っています。,HLL heiwa,
jiko,accident,事故,高速道路で{{事故}}が起きました。,HLL jiko,
kiken,danger,危険,この橋は{{危険}}なので渡らないでください。,LHL kiken,
anzen,safety,安全,子どもの{{安全}}が最も大切です。,LHL anzen,
seikou,success,成功,努力すれば{{成功}}することができます。,LHL seikou,
shippai,failure,失敗,最初の試験は{{失敗}}してしまいました。,LHL shippai,
konnan,difficulty,困難,この問題は{{困難}}ですが解けます。,LHL konnan,
kaiketsu,solution,解決,良い{{解決}}方法を見つけました。,LHLL kaiketsu,
kikai,opportunity,機会,新しい{{機会}}を逃してはいけません。,LHL kikai,
kenri,right,権利,すべての人は平等な{{権利}}があります。,LHL kenri,
sekinin,responsibility,責任,私たちは環境を守る{{責任}}があります。,LHLL sekinin,
jiyu,freedom,自由,表現の{{自由}}は とても大切です。,LHL jiyu,
byoudou,equality,平等,社会における{{平等}}は重要な課題です。,LHLL byoudou,
komyuniti,community,コミュニティ,私たちの{{コミュニティ}}は とても親切です。,LLHL komyuniti,
kokumin,nation / people,国民,日本の{{国民}}は約一億人です。,LHL kokumin,
chiiki,region,地域,私の{{地域}}には公園がたくさんあります。,LHL chiiki,
shuto,capital city,首都,東京は日本の{{首都}}です。,LHL shuto,
jinkou,population,人口,世界の{{人口}}は年々増加しています。,LHL jinkou,
keizai,economy,経済,国の{{経済}}成長は大切です。,LHL keizai,
boueki,trade,貿易,日本は多くの国と{{貿易}}をしています。,LHLL boueki,
sangyou,industry,産業,自動車{{産業}}は日本の重要な産業です。,LHLL sangyou,
nougyou,agriculture,農業,{{農業}}は食料生産に欠かせません。,LHLL nougyou,
kankyou,environment,環境,{{環境}}保全は私たちの責任です。,LHLL kankyou,
shizen,nature,自然,{{自然}}の美しさに感動しました。,LHL shizen,
enerugii,energy,エネルギー,再生可能な{{エネルギー}}の利用が増えています。,LLHL enerugii,
shigen,resource,資源,天然{{資源}}を大切に使う必要があります。,LHL shigen,
osen,pollution,汚染,空気の{{汚染}}が問題になっています。,LHL osen,
kikou,climate,気候,この地域の{{気候}}は温暖です。,LHL kikou,
