word,meaning,native,sentence,ipa,notes
revenir,to come back,,Il {{revient}} de ses vacances en montagne la semaine prochaine.,ʁəvəniʁ,
retourner,to return,,Elle {{retourne}} au magasin pour acheter une autre robe.,ʁətunre,
rentrer,to go home / to return,,Les enfants {{rentrent}} à la maison après l'école.,rɑ̃tʁe,
décider,to decide,,Nous avons {{décidé}} d'aller au cinéma samedi soir.,deside,
choisir,to choose,,Tu dois {{choisir}} entre le bleu et le rouge.,ʃwazir,
essayer,to try,,Je vais {{essayer}} ce nouveau restaurant avec mes amis.,eseje,
utiliser,to use,,On {{utilise}} l'ordinateur pour faire nos devoirs chaque jour.,ytilize,
changer,to change,,Il {{change}} ses vêtements avant d'aller au travail.,ʃɑ̃ʒe,
garder,to keep,,Elle {{garde}} les souvenirs de son enfance très précieusement.,gaʁde,
aider,to help,,Mon frère m'{{aide}} toujours avec mes problèmes difficiles.,ede,
permettre,to allow,,Les parents {{permettent}} aux enfants de jouer dehors.,pɛʁmɛtʁ,
refuser,to refuse,,Il a {{refusé}} notre invitation au mariage l'année dernière.,ʁəfyze,
accepter,to accept,,Elle {{accepte}} le nouveau travail avec beaucoup d'enthousiasme.,aksɛpte,
répondre,to answer,,Tu dois {{répondre}} aux questions du professeur correctement.,ʁepɔ̃dʁ,
expliquer,to explain,,Le professeur {{explique}} la leçon de mathématiques très clairement.,ɛksplique,
demander,to ask,,Je vais {{demander}} l'aide de mon ami pour ce projet.,dəmɑ̃de,
recevoir,to receive,,Elle {{reçoit}} beaucoup de cadeaux pour son anniversaire.,ʁəsəvwaʁ,
envoyer,to send,,Je vais {{envoyer}} une lettre à ma grand-mère bientôt.,ɑ̃vwaje,
oublier,to forget,,Il {{oublie}} toujours ses clés quand il sort pressé.,ublije,
rappeler,to remember / to call back,,Tu me {{rappelles}} de l'appeler avant ce soir s'il te plaît.,ʁapəle,
rêver,to dream,,Je {{rêve}} souvent de voyager dans des pays exotiques.,ʁeve,
imaginer,to imagine,,Les enfants {{imaginent}} des histoires fantastiques avant de dormir.,imaʒine,
créer,to create,,L'artiste {{crée}} de magnifiques sculptures en bois naturel.,kʁee,
construire,to build,,Ils {{construisent}} une nouvelle maison dans notre quartier maintenant.,kɔ̃stʁɥiʁ,
casser,to break,,L'enfant a {{cassé}} le vase antique accidentellement hier.,kase,
toucher,to touch,,Ne {{touche}} pas les plantes délicates du jardin s'il te plaît.,tuʃe,
sentir,to feel / to smell,,On {{sent}} la bonne odeur du pain frais partout.,sɑ̃tiʁ,
sourire,to smile,,Elle {{sourit}} toujours quand elle voit ses petits-enfants.,suʁiʁ,
rire,to laugh,,Nous {{rions}} beaucoup pendant les histoires drôles.,ʁiʁ,
pleurer,to cry,,Le bébé {{pleure}} toute la nuit sans arrêt vraiment.,plœʁe,
crier,to shout,,Les supporters {{crient}} très fort pendant le match de foot.,kʁije,
chanter,to sing,,Elle {{chante}} très bien dans la chorale de l'école.,ʃɑ̃te,
danser,to dance,,Ils {{dansent}} toute la nuit pendant la fête.,dɑ̃se,
cuisiner,to cook,,Ma mère {{cuisine}} de délicieux plats traditionnels chaque dimanche.,kɥizine,
nettoyer,to clean,,Je {{nettoie}} ma chambre tous les samedis matin régulièrement.,netwaje,
laver,to wash,,Tu dois {{laver}} tes mains avant de manger.,lave,
voyager,to travel,,Nous {{voyageons}} en Europe tous les étés avec notre famille.,vwajaʒe,
visiter,to visit,,Les touristes {{visitent}} la cathédrale Notre-Dame chaque jour.,vizite,
nager,to swim,,Les enfants {{nagent}} dans la piscine pendant l'été.,naʒe,
voler,to fly / to steal,,L'oiseau {{vole}} haut dans le ciel bleu.,vɔle,
conduire,to drive,,Mon père {{conduit}} une voiture noire tous les jours.,kɔ̃dɥir,
naître,to be born,,Je suis {{né}} en France il y a vingt ans.,nɛtʁ,
mourir,to die,,Les fleurs {{meurent}} sans eau pendant l'été.,muʁir,
grandir,to grow up,,Mon fils {{grandit}} rapidement chaque année maintenant.,gʁɑ̃dir,
réussir,to succeed,,Elle {{réussit}} tous ses examens avec beaucoup d'effort.,reysir,
échouer,to fail,,Il {{échoue}} souvent car il ne travaille pas assez.,eʃwe,
continuer,to continue,,Nous {{continuons}} notre projet malgré les difficultés rencontrées.,kɔ̃tinɥe,
arrêter,to stop,,Il faut {{arrêter}} de fumer pour votre santé.,aʁete,
reprendre,to resume / to take back,,Je {{reprends}} mon travail après une longue pause.,ʁəpʁɑ̃dʁ,
réaliser,to realise / to achieve,,Elle {{réalise}} finalement son rêve d'être actrice.,realize,
obtenir,to obtain / to get,,Vous {{obtenez}} un diplôme après trois années d'études.,ɔbtəniʁ,
produire,to produce,,Cette usine {{produit}} des voitures depuis cinquante ans.,pʁɔdɥir,
offrir,to offer,,Je {{t'offre}} un cadeau pour ton anniversaire demain.,ɔfriʁ,
proposer,to propose / to suggest,,Il {{propose}} une nouvelle idée pour améliorer l'entreprise.,pʁɔpoze,
présenter,to present / to introduce,,Je {{présente}} mon ami Marie à toute la famille.,prezɑ̃te,
représenter,to represent,,Cet acteur {{représente}} la France aux Jeux olympiques.,ʁeprezɑ̃te,
appartenir,to belong,,Ce livre {{appartient}} à la bibliothèque municipale depuis longtemps.,apaʁtəniʁ,
résoudre,to solve,,Le mathématicien {{résout}} le problème difficile en une heure.,rezudʁ,
éviter,to avoid,,Elle {{évite}} les embouteillages en prenant la route secondaire.,evite,
atteindre,to reach / to achieve,,L'alpiniste {{atteint}} enfin le sommet de la montagne.,atɛ̃dʁ,
réduire,to reduce,,Nous devons {{réduire}} nos dépenses pendant la crise économique.,redɥir,
augmenter,to increase,,Les salaires {{augmentent}} de cinq pour cent cette année.,ogmɑ̃te,
améliorer,to improve,,On peut {{améliorer}} la qualité avec plus d'investissement.,ameljoʁe,
développer,to develop,,L'entreprise {{développe}} ses activités dans plusieurs pays étrangers.,devlɔpe,
# ── Nouns ────────────────────────────────────────────────────────────────────
temps,time / weather,,Le {{temps}} est beau aujourd'hui pour une promenade.,tɑ̃,
année,year,,Cette {{année}} je vais voyager en Italie avec ma famille.,ane,
vie,life,,La {{vie}} est une belle aventure pleine de surprises.,vi,
homme,man,,Cet {{homme}} travaille comme ingénieur dans une grande ville.,ɔm,
femme,woman,,La {{femme}} enseigne l'histoire dans un lycée prestigieux.,fam,
jour,day,,Chaque {{jour}} je marche dans le parc près de chez moi.,ʒuʁ,
chose,thing,,La seule {{chose}} que je veux c'est votre bonheur.,ʃoz,
partie,part,,La première {{partie}} du film était très émouvante et captivante.,paʁti,
endroit,place,,Cet {{endroit}} est calme et parfait pour se reposer.,ɑ̃dʁwa,
moment,moment,,Ce {{moment}} sera gravé dans ma mémoire à jamais.,mɔmɑ̃,
façon,way / manner,,La {{façon}} dont il parle me plaît beaucoup aujourd'hui.,fasɔ̃,
personne,person,,Aucune {{personne}} ne peut réussir seule sans aide.,pɛʁsɔn,
main,hand,,L'enfant tient la {{main}} de sa mère à l'école.,mɛ̃,
monde,world,,Le {{monde}} entier regarde le tournoi de tennis maintenant.,mɔ̃d,
fois,time (occurrence),,Je visite ce restaurant une {{fois}} par semaine toujours.,fwa,
cas,case,,"En ce {{cas}}, vous pouvez appeler la police immédiatement.",ka,
travail,work / job,,Mon {{travail}} me plaît beaucoup malgré les horaires chargés.,tʁavaj,
problème,problem,,Le {{problème}} principal est que nous manquons de ressources.,pʁɔblɛm,
pays,country,,Ce {{pays}} possède une longue histoire très riche et intéressante.,pei,
ville,city,,La {{ville}} de Paris attire des millions de touristes annuellement.,vil,
maison,house / home,,Notre {{maison}} est située près du centre-ville maintenant.,mɛzɔ̃,
eau,water,,L'{{eau}} pure est essentielle pour la santé humaine.,o,
groupe,group,,Le {{groupe}} de musique joue dans le festival mercredi.,gʁup,
entreprise,company,,Cette {{entreprise}} emploie plus de mille personnes dans le monde.,ɑ̃tʁəpʁiz,
nom,name,,Je ne me souviens plus du {{nom}} de ce restaurant.,nɔ̃,
nombre,number,,Le {{nombre}} d'étudiants augmente chaque année dans cette école.,nɔ̃bʁ,
forme,form / shape,,La {{forme}} du triangle est différente du carré.,fɔʁm,
système,system,,Le {{système}} éducatif français change progressivement depuis quelques années.,sistɛm,
exemple,example,,"Par {{exemple}}, vous pouvez utiliser ce dictionnaire pour apprendre.",ɛɡzɑ̃pl,
point,point,,C'est un {{point}} important à considérer dans cette discussion.,pwɛ̃,
gouvernement,government,,Le {{gouvernement}} a annoncé de nouvelles mesures pour l'économie.,ɡuvɛʁnəmɑ̃,
information,information,,J'ai reçu une {{information}} intéressante sur ce projet hier.,ɛ̃fɔʁmasjɔ̃,
histoire,history / story,,L'{{histoire}} de France est très riche et complexe.,istwaʁ,
famille,family,,Ma {{famille}} se réunit toujours le dimanche pour déjeuner.,famij,
société,society,,La {{société}} moderne dépend beaucoup de la technologie numérique.,sɔsjeté,
niveau,level,,Son {{niveau}} en mathématiques s'est amélioré considérablement ce trimestre.,nivo,
type,type,,Quel {{type}} de café préférez-vous boire le matin?,tip,
relation,relationship,,La {{relation}} entre ces deux pays s'est consolidée récemment.,ʁəlasjɔ̃,
processus,process,,Le {{processus}} de candidature est simple et rapide généralement.,pʁɔsɛsys,
service,service,,Ce {{service}} client est disponible vingt-quatre heures par jour.,sɛʁvis,
politique,politics / policy,,La {{politique}} nationale affecte directement la vie des citoyens.,pɔlitik,
changement,change,,Un grand {{changement}} arrive dans notre entreprise très bientôt.,ʃɑ̃ʒmɑ̃,
résultat,result,,Le {{résultat}} final dépend de votre effort et concentration.,rezylta,
argent,money,,L'{{argent}} ne fait pas toujours le bonheur des gens.,aʁʒɑ̃,
heure,hour / time,,À quelle {{heure}} arrivez-vous généralement au bureau demain matin?,œʁ,
mois,month,,Janvier est le premier {{mois}} de l'année civile.,mwa,
semaine,week,,"La {{semaine}} prochaine, nous avons plusieurs réunions importantes prévues.",səmɛn,
nuit,night,,"Pendant la {{nuit}}, les étoiles brillent magnifiquement dans le ciel.",nɥi,
matin,morning,,Je prends toujours du café le {{matin}} avant de travailler.,matɛ̃,
après-midi,afternoon,,"L'{{après-midi}}, nous avons généralement une pause de deux heures.",apʁɛmidi,
soir,evening,,"Le {{soir}}, nous regardons souvent un film ensemble en famille.",swaʁ,
minute,minute,,"Attendez une {{minute}}, je vais trouver votre documents rapidement.",minyt,
seconde,second,,Cela ne prend qu'une {{seconde}} pour changer votre mot de passe.,səɡɔ̃d,
siècle,century,,"Au dix-neuvième {{siècle}}, la révolution industrielle a transformé l'Europe.",sjɛkl,
avenir,future,,L'{{avenir}} de cette entreprise dépend des bonnes décisions maintenant.,avniʁ,
passé,past,,"Le {{passé}} ne peut pas être changé, seulement accepté.",pase,
présent,present,,Le {{présent}} est le meilleur moment pour agir vraiment.,prezɑ̃,
début,beginning,,Le {{début}} du film était très intéressant et captivant.,deby,
fin,end,,La {{fin}} de l'histoire était inattendue et étonnante.,fɛ̃,
centre,centre,,Le {{centre}} commercial se trouve à cinq kilomètres d'ici environ.,sɑ̃tʁ,
nord,north,,La gare est situé au {{nord}} de la ville principale.,nɔʁ,
sud,south,,Le climat au {{sud}} est plus chaud et ensoleillé.,syd,
est,east,,Le soleil se lève à l'{{est}} chaque matin régulièrement.,ɛst,
ouest,west,,Nous voyageons vers l'{{ouest}} pour nos vacances d'été cette année.,wɛst,
rue,street,,Ma maison se trouve dans la {{rue}} principale du village.,ʁy,
chemin,path / way,,Le {{chemin}} vers l'école passe par le parc municipal.,ʃəmɛ̃,
porte,door,,Pouvez-vous ouvrir la {{porte}} s'il vous plaît maintenant?,pɔʁt,
fenêtre,window,,La {{fenêtre}} de ma chambre donne sur un joli jardin.,fənɛtʁ,
sol,floor / ground,,Le {{sol}} du salon est couvert de carrelage blanc.,sɔl,
plafond,ceiling,,Le {{plafond}} de la salle a été récemment repeint en blanc.,plafɔ̃,
mur,wall,,Il y a une belle peinture sur le {{mur}} du salon.,myʁ,
pièce,room,,Cette {{pièce}} est très lumineuse et agréable à vivre.,pjɛs,
cuisine,kitchen,,La {{cuisine}} est équipée de tous les appareils modernes nécessaires.,kɥizin,
salle de bain,bathroom,,La {{salle de bain}} a été rénovée l'année dernière complètement.,sal də bɛ̃,
jardin,garden,,Nous cultivons des légumes frais dans notre {{jardin}} chaque été.,ʒaʁdɛ̃,
bâtiment,building,,Le {{bâtiment}} moderne se trouve au centre-ville.,bɑtimɑ̃,
appartement,apartment,,Elle habite dans un {{appartement}} spacieux avec vue.,apartəmɑ̃,
hôtel,hotel,,Nous avons réservé une chambre à l'{{hôtel}} hier.,otɛl,
hôpital,hospital,,Mon grand-père travaille à l'{{hôpital}} depuis vingt ans.,opital,
école,school,,Les enfants vont à l'{{école}} tous les matins.,ekɔl,
université,university,,Il étudie la biologie à l'{{université}} de Paris.,ynivɛrsite,
bibliothèque,library,,Je dois aller à la {{bibliothèque}} pour emprunter des livres.,bibliɔtɛk,
magasin,shop / store,,Le {{magasin}} ferme à dix-huit heures le soir.,magazɛ̃,
marché,market,,Nous achetons des fruits frais au {{marché}} tous les jeudis.,marʃe,
banque,bank,,Elle travaille à la {{banque}} depuis cinq années.,bɑ̃k,
église,church,,La {{église}} du village est très ancienne et belle.,eɡliz,
parc,park,,Les enfants jouent au {{parc}} près de la maison.,park,
plage,beach,,Nous passons l'été à la {{plage}} en Bretagne.,plaʒ,
montagne,mountain,,La {{montagne}} est couverte de neige en hiver.,mɔ̃taɲ,
rivière,river,,Cette {{rivière}} traverse la campagne et la forêt.,rivjɛr,
lac,lake,,Le {{lac}} est idéal pour la baignade l'été.,lak,
mer,sea,,La {{mer}} est calme aujourd'hui selon les prévisions.,mɛr,
forêt,forest,,Nous nous promenons dans la {{forêt}} le week-end.,fɔrɛ,
campagne,countryside,,Il préfère la {{campagne}} aux bruits de la ville.,kɑ̃paɲ,
ciel,sky,,Le {{ciel}} est dégagé et très bleu maintenant.,sjɛl,
soleil,sun,,Le {{soleil}} brille magnifiquement sur la mer.,sɔlɛj,
lune,moon,,La {{lune}} est pleine et très brillante cette nuit.,lyn,
étoile,star,,Chaque {{étoile}} brille distinctement dans le ciel noir.,etwal,
nuage,cloud,,Un {{nuage}} blanc flotte lentement dans le ciel.,nɥaʒ,
pluie,rain,,La {{pluie}} commence à tomber cet après-midi.,plɥi,
neige,snow,,La {{neige}} recouvre complètement les toits et les arbres.,nɛʒ,
vent,wind,,Le {{vent}} souffle très fort près de la côte.,vɑ̃,
feu,fire,,Le {{feu}} crépite dans la cheminée ce soir.,fø,
terre,earth / land,,La {{terre}} est fertile dans cette région agricole.,tɛr,
pierre,stone,,Cette {{pierre}} ancienne date du Moyen Âge environ.,pjɛr,
arbre,tree,,L'{{arbre}} fruitier donne de belles pommes rouges.,arbr,
fleur,flower,,Cette {{fleur}} rose sent très bon au printemps.,flœr,
plante,plant,,La {{plante}} verte a besoin d'eau et lumière.,plɑ̃t,
herbe,grass,,L'{{herbe}} verte recouvre tout le terrain de football.,ɛrb,
animal,animal,,Chaque {{animal}} a ses propres caractéristiques particulières.,animal,
chien,dog,,Le {{chien}} aboie quand quelqu'un sonne à la porte.,ʃjɛ̃,
chat,cat,,Le {{chat}} dort paisiblement sur le canapé confortable.,ʃa,
oiseau,bird,,L'{{oiseau}} chante très tôt chaque matin du printemps.,wazo,
poisson,fish,,Le {{poisson}} rouge nage dans l'aquarium avec grâce.,pwasɔ̃,
cheval,horse,,Le {{cheval}} galope rapidement dans le champ verdoyant.,ʃəval,
vache,cow,,La {{vache}} broute l'herbe dans le pré vert.,vaʃ,
corps,body,,Le {{corps}} humain a besoin d'exercice régulier.,kɔr,
tête,head,,Il se touche la {{tête}} car il a mal.,tɛt,
visage,face,,Son {{visage}} exprime une grande joie et satisfaction.,vizaʒ,
oeil,eye,,L'{{oeil}} humain peut voir beaucoup de couleurs.,œj,
nez,nose,,Le {{nez}} aide à sentir tous les parfums.,ne,
bouche,mouth,,Elle ferme la {{bouche}} et sourit largement aux amis.,buʃ,
oreille,ear,,L'{{oreille}} droite entend mieux que la gauche.,ɔrɛj,
dent,tooth,,Chaque {{dent}} doit être brossée deux fois par jour.,dɑ̃,
langue,tongue,,La {{langue}} française est parlée par des millions.,lɑ̃g,
cou,neck,,Elle a un long {{cou}} gracieux et élégant.,ku,
épaule,shoulder,,Il a posé sa main sur son {{épaule}} doucement.,epol,
bras,arm,,Elle lève les {{bras}} vers le ciel bleu.,bʁa,
coude,elbow,,Le {{coude}} est l'articulation entre le bras et l'avant-bras.,kud,
poignet,wrist,,Sa montre est attachée au {{poignet}} droit fermement.,pwaɲe,
doigt,finger,,Elle pointe un {{doigt}} vers la fenêtre ouverte.,dwa,
jambe,leg,,Il s'est cassé la {{jambe}} en jouant au football.,ʒɑ̃b,
genou,knee,,L'enfant s'est écorché le {{genou}} en tombant.,ʒənu,
pied,foot,,Elle marche pieds nus sur le {{pied}} du lit.,pje,
coeur,heart,,Son {{coeur}} bat très vite après l'exercice.,kœʁ,
poumon,lung,,Fumer endommage gravement les {{poumons}} de façon irréversible.,pumɔ̃,
estomac,stomach,,J'ai mal à l'{{estomac}} après ce repas lourd.,estɔma,
cerveau,brain,,Le {{cerveau}} contrôle toutes les fonctions du corps.,sɛʁvo,
sang,blood,,Le {{sang}} circule dans les veines du corps.,sɑ̃,
os,bone,,L'{{os}} est très fragile chez les personnes âgées.,ɔs,
muscle,muscle,,Son {{muscle}} se développe grâce à l'entraînement régulier.,myskl,
peau,skin,,La {{peau}} nécessite une protection solaire quotidienne importante.,po,
cheveux,hair,,Elle se coiffe les {{cheveux}} tous les matins soigneusement.,ʃəvø,
vêtement,clothing,,Ce {{vêtement}} est trop petit pour lui maintenant.,vetmɑ̃,
chemise,shirt,,Il porte une {{chemise}} blanche au bureau aujourd'hui.,ʃəmiz,
pantalon,trousers,,Son {{pantalon}} est déchiré au niveau du genou.,pɑ̃talɔ̃,
jupe,skirt,,Elle a acheté une {{jupe}} noire très élégante.,ʒyp,
robe,dress,,La {{robe}} de mariée était magnifique et luxueuse.,ʁɔb,
veste,jacket,,Il met sa {{veste}} avant de sortir dehors.,vɛst,
manteau,coat,,Son {{manteau}} d'hiver est très chaud et confortable.,mɑ̃to,
chaussure,shoe,,Elle a acheté une nouvelle {{chaussure}} de marque.,ʃosuʁ,
chaussette,sock,,Il porte des {{chaussettes}} blanches avec ses baskets.,ʃosɛt,
chapeau,hat,,Le {{chapeau}} la protège du soleil très intense.,ʃapo,
écharpe,scarf,,Elle enroule son {{écharpe}} autour du cou fermement.,eʃaʁp,
gant,glove,,Il met un {{gant}} pour faire du sport.,ɡɑ̃,
pain,bread,,Elle achète du {{pain}} frais à la boulangerie.,pɛ̃,
riz,rice,,Nous mangeons du {{riz}} blanc avec du poulet.,ʁi,
pâtes,pasta,,Les {{pâtes}} cuisant dans l'eau bouillante sentent bon.,pat,
viande,meat,,La {{viande}} est riche en protéines essentielles.,vjɑ̃d,
poulet,chicken,,Nous préparons un {{poulet}} rôti pour le dîner.,pule,
oeuf,egg,,Elle casse un {{oeuf}} pour faire une omelette.,œf,
lait,milk,,L'enfant boit un verre de {{lait}} chaud.,lɛ,
fromage,cheese,,Le {{fromage}} français est excellent et très savoureux.,fʁɔmaʒ,
beurre,butter,,Elle étale du {{beurre}} sur sa tranche de pain.,bœʁ,
huile,oil,,L'{{huile}} d'olive est bonne pour la santé.,ɥil,
sel,salt,,Il ajoute un peu de {{sel}} à la soupe.,sɛl,
sucre,sugar,,Le {{sucre}} rend le dessert très sucré et délicieux.,sykʁ,
café,coffee,,Il prend un {{café}} noir le matin au réveil.,kafe,
thé,tea,,Elle boit une tasse de {{thé}} vert chaud.,te,
vin,wine,,Le {{vin}} rouge accompagne bien ce plat délicieux.,vɛ̃,
bière,beer,,Il commande une {{bière}} fraîche au bar.,bjɛʁ,
jus,juice,,Le {{jus}} d'orange frais est très savoureux.,ʒy,
fruit,fruit,,Chaque {{fruit}} contient des vitamines essentielles.,fʁɥi,
pomme,apple,,Elle croque une {{pomme}} rouge dans la cuisine.,pɔm,
orange,orange,,L'{{orange}} est un agrume riche en vitamine.,ɔʁɑ̃ʒ,
raisin,grape,,Je mangé un {{raisin}} sucré à la fin du repas.,ʁɛzɛ̃,
banane,banana,,Elle a mangé une {{banane}} au petit déjeuner ce matin.,banana,
fraise,strawberry,,Les {{fraises}} rouges du marché sont très délicieuses aujourd'hui.,fʁɛz,
citron,lemon,,J'ai pressé un {{citron}} frais pour la limonade maison.,sitʁɔ̃,
tomate,tomato,,La {{tomate}} mûre du jardin est prête à être cueilli.,tɔmat,
laitue,lettuce,,Je prépare une salade avec de la {{laitue}} croustillante.,lɛty,
carotte,carrot,,Les {{carottes}} oranges sont bonnes pour la vue et la santé.,kaʁɔt,
oignon,onion,,L'{{oignon}} blanc que j'ai coupé me fait pleurer maintenant.,ɔɲɔ̃,
ail,garlic,,L'{{ail}} frais donne un goût excellent à tous les plats.,aj,
pomme de terre,potato,,Je fais bouillir une {{pomme de terre}} pour le dîner.,pɔm də tɛʁ,
livre,book,,J'ai lu un {{livre}} intéressant pendant mes vacances d'été.,livʁ,
page,page,,La {{page}} suivante du roman révèle un secret important maintenant.,paʒ,
lettre,letter,,J'ai reçu une {{lettre}} de mon ami qui habite à Paris.,lɛtʁ,
journal,newspaper,,Le {{journal}} du matin parle de nouvelles importantes du monde.,ʒuʁnal,
magazine,magazine,,Je feuillette un {{magazine}} de mode dans la salle d'attente.,magazin,
nouvelle,news / short story,,Il a lu une {{nouvelle}} courte et captivante en une heure.,nuvɛl,
question,question,,J'ai posé une {{question}} difficile au professeur pendant le cours.,kɛstjɔ̃,
réponse,answer,,Elle a donné une {{réponse}} correcte à tous les exercices.,ʁepɔ̃s,
idée,idea,,J'ai eu une bonne {{idée}} pour résoudre ce problème mathématique.,ide,
opinion,opinion,,Son {{opinion}} sur la politique diffère complètement de la mienne.,ɔpinjɔ̃,
mot,word,,Ce {{mot}} signifie quelque chose de très important en français.,mo,
phrase,sentence,,Construis une {{phrase}} grammaticalement correcte avec ces trois mots.,fʁaz,
culture,culture,,La {{culture}} française est riche d'histoire et de traditions.,kyltyʁ,
art,art,,L'{{art}} moderne fascine beaucoup de visiteurs au musée parisien.,aʁ,
musique,music,,J'aime écouter de la {{musique}} classique le soir après travail.,myzik,
chanson,song,,Cette {{chanson}} populaire est connue dans le monde entier maintenant.,ʃɑ̃sɔ̃,
film,film / movie,,Nous avons regardé un {{film}} passionnant au cinéma samedi soir.,film,
théâtre,theatre,,Les acteurs jouent une pièce intéressante au {{théâtre}} municipal.,teɑtʁ,
sport,sport,,Mon {{sport}} préféré est le tennis que je pratique régulièrement.,spɔʁ,
football,football / soccer,,L'équipe de {{football}} a remporté une grande victoire hier soir.,futbɔl,
